"Wavelength (nm)","σ (cm^2)"
127.3,2.37E-18
127.32,2.37E-18
127.36,2.54E-18
127.41,2.49E-18
127.58,1.73E-18
127.67,2.01E-18
127.8,1.88E-18
127.81,1.70E-18
127.96,1.74E-18
128.01,2.24E-18
128.1,2.01E-18
128.16,2.31E-18
128.32,2.27E-18
128.43,2.97E-18
128.58,3.26E-18
128.65,3.04E-18
128.78,3.18E-18
128.94,2.30E-18
129.04,1.85E-18
129.11,1.69E-18
129.34,2.09E-18
129.46,2.52E-18
129.56,2.32E-18
129.63,3.02E-18
129.73,2.22E-18
129.91,2.27E-18
129.97,1.87E-18
130.18,2.15E-18
130.24,1.72E-18
130.41,1.92E-18
130.5,2.25E-18
130.66,2.49E-18
130.74,2.02E-18
131.01,2.23E-18
131.1,2.32E-18
131.14,2.58E-18
131.23,2.19E-18
131.29,2.31E-18
131.47,1.53E-18
131.54,1.71E-18
131.66,1.80E-18
131.79,1.78E-18
131.9,1.94E-18
132.2,2.77E-18
132.23,3.07E-18
132.29,3.61E-18
132.33,3.49E-18
132.45,3.62E-18
132.5,3.12E-18
132.56,4.21E-18
132.7,3.34E-18
132.75,4.17E-18
132.93,2.27E-18
133.1,1.63E-18
133.25,2.67E-18
133.36,3.03E-18
133.41,3.28E-18
133.5,4.06E-18
133.57,3.83E-18
133.73,3.36E-18
133.77,3.36E-18
133.83,2.29E-18
133.97,2.25E-18
134.07,2.33E-18
134.15,1.52E-18
134.2,1.54E-18
134.3,1.74E-18
134.33,1.63E-18
134.41,1.94E-18
134.51,2.06E-18
134.7,1.59E-18
135.15,2.13E-18
135.35,2.20E-18
135.45,2.10E-18
135.65,2.21E-18
136.1,1.17E-18
136.7,3.80E-18
137.0,4.16E-18
137.2,1.85E-18
137.6,1.45E-18
138.2,3.47E-18
138.45,3.75E-18
138.55,9.86E-19
138.9,2.57E-19
139.6,3.39E-18
140.1,1.02E-18
140.45,3.71E-18
140.75,3.41E-18
140.85,3.54E-18
141.2,3.98E-19
141.5,5.77E-19
