"Wavelength (nm)","σ (cm^2)"
138.8,5.484392581e-18
139,6.3535629334e-18
139.2,7.7950774661e-18
139.4,9.5671382303e-18
139.6,1.0435863374e-17
139.8,8.6916661713e-18
140,8.93128e-18
140.2,4.71908e-18
140.4,4.09546e-18
140.6,2.7541e-18
140.8,1.94931e-18
141,5.06916e-18
141.2,3.69987e-18
141.4,2.06812e-18
141.6,1.696187e-17
141.8,3.56909e-18
142,3.68775e-18
142.2,2.70164e-18
142.4,1.97074e-18
142.6,2.94458e-18
142.8,2.36309e-18
143,1.61238e-18
143.2,1.47229e-18
143.4,5.33767e-18
143.6,1.78159e-18
143.8,1.32762e-18
144,1.72883e-18
144.2,1.54012e-18
144.4,1.25816e-18
144.6,1.20349e-18
144.8,4.2091e-18
145,1.82932e-18
145.2,1.30737e-18
145.4,9.7089e-19
145.6,4.6549e-19
145.8,8.339e-19
146,1.25521e-18
146.2,1.20319e-18
146.4,8.5784e-19
146.6,5.9273e-19
146.8,7.4435e-19
147,5.58948e-18
147.2,1.86375e-18
147.4,7.875e-19
147.6,3.4269e-19
147.8,3.0102e-19
148,7.4169e-19
148.2,9.7769e-19
148.4,6.6425e-19
148.6,3.8126e-19
148.8,1.8472e-19
149,3.3043e-19
149.2,7.14896e-18
149.4,3.61903e-18
149.6,6.3647e-19
149.8,3.0161e-19
150,1.2975e-19
150.2,3.1993e-19
150.4,7.3474e-19
150.6,4.2545e-19
150.8,2.5698e-19
151,1.6979e-19
151.2,1.3418e-19
151.4,5.0155e-19
151.6,8.49653e-18
151.8,2.74583e-18
152,6.2864e-19
152.2,2.3659e-19
152.4,1.9979e-19
152.6,5.3554e-19
152.8,4.8855e-19
153,2.6703e-19
153.2,1.5694e-19
153.4,1.4855e-19
153.6,2.9672e-19
153.8,9.6025e-19
154,8.71435e-18
154.2,3.53643e-18
154.4,9.5567e-19
154.6,2.7501e-19
154.8,4.5072e-19
155,2.3615e-19
155.2,2.1501e-19
155.4,2.0334e-19
155.6,3.162e-20
155.8,4.138e-20
156,1.1113e-19
