Level  PRESSURE   K111    K112    K113    K114    K115    K116    K117    K118    K119    K120
 114  2.447E+02   0.000E+00  0.000E+00  0.000E+00  4.608E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.872E-04  0.000E+00
 115  2.213E+02   0.000E+00  0.000E+00  0.000E+00  4.709E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.915E-04  0.000E+00
 116  2.001E+02   0.000E+00  0.000E+00  0.000E+00  4.810E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.958E-04  0.000E+00
 117  1.811E+02   0.000E+00  0.000E+00  0.000E+00  4.910E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.000E-04  0.000E+00
 118  1.638E+02   0.000E+00  0.000E+00  0.000E+00  5.008E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.042E-04  0.000E+00
 119  1.482E+02   0.000E+00  0.000E+00  0.000E+00  5.104E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.083E-04  0.000E+00
 120  1.340E+02   0.000E+00  0.000E+00  0.000E+00  5.197E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.123E-04  0.000E+00
 121  1.212E+02   0.000E+00  0.000E+00  0.000E+00  5.286E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.162E-04  0.000E+00
 122  1.096E+02   0.000E+00  0.000E+00  0.000E+00  5.371E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.198E-04  0.000E+00
 123  9.912E+01   0.000E+00  0.000E+00  0.000E+00  5.451E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.233E-04  0.000E+00
 124  8.963E+01   0.000E+00  0.000E+00  0.000E+00  5.527E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.266E-04  0.000E+00
 125  8.112E+01   0.000E+00  0.000E+00  0.000E+00  5.597E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.297E-04  0.000E+00
 126  7.338E+01   0.000E+00  0.000E+00  0.000E+00  5.663E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.325E-04  0.000E+00
 127  6.637E+01   0.000E+00  0.000E+00  0.000E+00  5.724E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.352E-04  0.000E+00
 128  6.001E+01   0.000E+00  0.000E+00  0.000E+00  5.781E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.378E-04  0.000E+00
 129  5.430E+01   0.000E+00  0.000E+00  0.000E+00  5.835E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.401E-04  0.000E+00
 130  4.908E+01   0.000E+00  0.000E+00  0.000E+00  5.887E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.424E-04  0.000E+00
 131  4.441E+01   0.000E+00  0.000E+00  0.000E+00  5.937E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.446E-04  0.000E+00
 132  4.019E+01   0.000E+00  0.000E+00  0.000E+00  5.987E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.468E-04  0.000E+00
 133  3.635E+01   0.000E+00  0.000E+00  0.000E+00  6.037E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.490E-04  0.000E+00
 134  3.288E+01   0.000E+00  0.000E+00  0.000E+00  6.088E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.513E-04  0.000E+00
 135  2.974E+01   0.000E+00  0.000E+00  0.000E+00  6.140E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.535E-04  0.000E+00
 136  2.692E+01   0.000E+00  0.000E+00  0.000E+00  6.194E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.559E-04  0.000E+00
 137  2.433E+01   0.000E+00  0.000E+00  0.000E+00  6.249E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.583E-04  0.000E+00
 138  1.752E+01   0.000E+00  1.235E-33  0.000E+00  6.440E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.665E-04  0.000E+00
 139  1.251E+01   0.000E+00  3.246E-27  0.000E+00  6.633E-03  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.749E-04  0.000E+00
 140  8.952E+00   4.821E-33  5.692E-22  0.000E+00  6.810E-03  1.597E-31  0.000E+00  0.000E+00  0.000E+00  2.825E-04  0.000E+00
 141  6.407E+00   2.749E-26  3.854E-18  0.000E+00  6.962E-03  8.604E-25  0.000E+00  0.000E+00  0.000E+00  2.890E-04  0.000E+00
 142  4.584E+00   4.557E-21  1.135E-14  0.000E+00  7.109E-03  8.994E-20  0.000E+00  0.000E+00  0.000E+00  2.955E-04  0.000E+00
 143  3.283E+00   9.016E-17  6.637E-12  0.000E+00  7.293E-03  1.477E-15  0.000E+00  0.000E+00  0.000E+00  3.038E-04  0.000E+00
 144  2.351E+00   4.777E-13  4.868E-10  0.000E+00  7.536E-03  6.244E-12  0.000E+00  0.000E+00  0.000E+00  3.151E-04  0.000E+00
 145  1.684E+00   3.340E-10  1.940E-08  0.000E+00  7.869E-03  3.105E-09  0.000E+00  0.000E+00  0.000E+00  3.307E-04  0.000E+00
 146  1.207E+00   2.533E-08  7.524E-07  0.000E+00  8.308E-03  2.015E-07  2.722E-33  0.000E+00  0.000E+00  3.517E-04  8.845E-34
 147  8.644E-01   3.576E-07  9.138E-06  0.000E+00  8.835E-03  2.652E-06  1.144E-27  0.000E+00  0.000E+00  3.784E-04  3.719E-28
 148  6.189E-01   1.768E-06  4.051E-05  0.000E+00  9.411E-03  1.207E-05  3.558E-23  0.000E+00  0.000E+00  4.106E-04  1.156E-23
 149  4.433E-01   4.466E-06  8.789E-05  0.000E+00  9.886E-03  2.651E-05  1.821E-19  3.287E-37  3.287E-37  4.398E-04  5.919E-20
 150  3.176E-01   7.928E-06  1.290E-04  0.000E+00  1.017E-02  3.926E-05  6.816E-16  4.387E-31  4.387E-31  4.590E-04  2.215E-16
 151  2.273E-01   1.159E-05  1.564E-04  0.000E+00  1.030E-02  4.799E-05  3.668E-13  2.997E-26  2.997E-26  4.688E-04  1.192E-13
 152  1.626E-01   1.512E-05  1.749E-04  2.466E-37  1.035E-02  5.404E-05  3.179E-11  1.795E-22  1.795E-22  4.736E-04  1.033E-11
 153  1.163E-01   1.852E-05  1.897E-04  2.563E-31  1.038E-02  5.900E-05  7.977E-10  1.757E-18  1.757E-18  4.767E-04  2.593E-10
 154  8.334E-02   2.206E-05  2.029E-04  2.631E-26  1.040E-02  6.354E-05  7.898E-09  2.877E-15  2.877E-15  4.793E-04  2.567E-09
 155  5.961E-02   2.735E-05  2.171E-04  2.609E-22  1.042E-02  6.878E-05  4.170E-08  6.911E-13  6.911E-13  4.821E-04  1.356E-08
 156  4.263E-02   3.710E-05  2.357E-04  2.288E-18  1.044E-02  7.635E-05  1.370E-07  3.776E-11  3.776E-11  4.859E-04  4.471E-08
 157  3.049E-02   5.429E-05  2.617E-04  3.293E-15  1.048E-02  8.766E-05  3.234E-07  7.373E-10  7.373E-10  4.915E-04  1.099E-07
 158  2.183E-02   8.428E-05  2.957E-04  6.202E-13  1.053E-02  1.031E-04  6.177E-07  7.155E-09  7.155E-09  4.988E-04  2.575E-07
 159  1.562E-02   1.471E-04  3.371E-04  2.807E-11  1.059E-02  1.232E-04  1.075E-06  4.677E-08  4.677E-08  5.082E-04  7.451E-07
 160  1.119E-02   2.811E-04  3.830E-04  4.023E-10  1.065E-02  1.495E-04  1.827E-06  2.307E-07  2.307E-07  5.198E-04  2.424E-06
 161  8.025E-03   5.571E-04  4.352E-04  2.876E-09  1.073E-02  1.927E-04  3.350E-06  1.003E-06  1.003E-06  5.382E-04  8.152E-06
 162  5.761E-03   1.029E-03  4.890E-04  1.134E-08  1.081E-02  2.744E-04  6.614E-06  3.518E-06  3.518E-06  5.728E-04  2.455E-05
 163  4.146E-03   1.802E-03  5.447E-04  3.147E-08  1.093E-02  4.513E-04  1.403E-05  1.049E-05  1.049E-05  6.486E-04  6.704E-05
 164  2.991E-03   2.913E-03  5.972E-04  6.564E-08  1.110E-02  7.880E-04  2.834E-05  2.515E-05  2.515E-05  7.942E-04  1.535E-04
 165  2.166E-03   4.377E-03  6.448E-04  1.125E-07  1.131E-02  1.334E-03  5.160E-05  4.989E-05  4.989E-05  1.031E-03  2.971E-04
 166  1.575E-03   6.121E-03  6.862E-04  1.666E-07  1.156E-02  2.085E-03  8.355E-05  8.453E-05  8.453E-05  1.358E-03  4.963E-04
 167  1.148E-03   8.024E-03  7.211E-04  2.211E-07  1.183E-02  2.991E-03  1.220E-04  1.267E-04  1.267E-04  1.753E-03  7.375E-04
 168  8.405E-04   9.993E-03  7.502E-04  2.713E-07  1.211E-02  3.994E-03  1.644E-04  1.736E-04  1.736E-04  2.191E-03  1.005E-03
 169  6.172E-04   1.183E-02  7.732E-04  3.119E-07  1.237E-02  4.979E-03  2.059E-04  2.199E-04  2.199E-04  2.621E-03  1.267E-03
 170  4.549E-04   1.354E-02  7.919E-04  3.437E-07  1.260E-02  5.922E-03  2.456E-04  2.642E-04  2.642E-04  3.033E-03  1.519E-03
 171  3.363E-04   1.502E-02  8.066E-04  3.667E-07  1.281E-02  6.767E-03  2.811E-04  3.040E-04  3.040E-04  3.403E-03  1.744E-03
 172  2.493E-04   1.629E-02  8.182E-04  3.830E-07  1.298E-02  7.506E-03  3.121E-04  3.389E-04  3.389E-04  3.726E-03  1.941E-03
