 Level  PRESSURE   K121    K122    K123    K124    K125    K126    K127    K128    K129    K130
 105  6.038E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.589E-03  0.000E+00  0.000E+00  7.680E-01  4.050E-07
 106  5.463E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.648E-03  0.000E+00  0.000E+00  7.900E-01  4.180E-07
 107  4.941E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.705E-03  0.000E+00  0.000E+00  8.104E-01  4.311E-07
 108  4.470E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.760E-03  0.000E+00  0.000E+00  8.294E-01  4.445E-07
 109  4.044E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.812E-03  0.000E+00  0.000E+00  8.470E-01  4.585E-07
 110  3.656E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.863E-03  0.000E+00  0.000E+00  8.633E-01  4.731E-07
 111  3.308E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.911E-03  0.000E+00  0.000E+00  8.783E-01  4.886E-07
 112  2.991E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  1.958E-03  0.000E+00  0.000E+00  8.920E-01  5.051E-07
 113  2.705E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.001E-03  0.000E+00  0.000E+00  9.044E-01  5.225E-07
 114  2.447E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.043E-03  0.000E+00  0.000E+00  9.158E-01  5.410E-07
 115  2.213E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.082E-03  0.000E+00  0.000E+00  9.261E-01  5.603E-07
 116  2.001E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.118E-03  0.000E+00  0.000E+00  9.354E-01  5.805E-07
 117  1.811E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.152E-03  0.000E+00  0.000E+00  9.438E-01  6.014E-07
 118  1.638E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.183E-03  0.000E+00  0.000E+00  9.514E-01  6.228E-07
 119  1.482E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.211E-03  0.000E+00  0.000E+00  9.582E-01  6.445E-07
 120  1.340E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.237E-03  0.000E+00  0.000E+00  9.643E-01  6.663E-07
 121  1.212E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.260E-03  0.000E+00  0.000E+00  9.698E-01  6.879E-07
 122  1.096E+02   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.280E-03  0.000E+00  0.000E+00  9.747E-01  7.091E-07
 123  9.912E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.298E-03  0.000E+00  0.000E+00  9.791E-01  7.299E-07
 124  8.963E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.313E-03  0.000E+00  0.000E+00  9.830E-01  7.501E-07
 125  8.112E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.325E-03  0.000E+00  0.000E+00  9.864E-01  7.696E-07
 126  7.338E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.336E-03  0.000E+00  0.000E+00  9.895E-01  7.887E-07
 127  6.637E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.344E-03  0.000E+00  0.000E+00  9.922E-01  8.074E-07
 128  6.001E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.351E-03  0.000E+00  0.000E+00  9.946E-01  8.260E-07
 129  5.430E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.356E-03  0.000E+00  0.000E+00  9.968E-01  8.447E-07
 130  4.908E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.360E-03  0.000E+00  0.000E+00  9.986E-01  8.640E-07
 131  4.441E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.363E-03  0.000E+00  0.000E+00  1.000E+00  8.841E-07
 132  4.019E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.365E-03  0.000E+00  0.000E+00  1.002E+00  9.053E-07
 133  3.635E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.366E-03  0.000E+00  0.000E+00  1.003E+00  9.281E-07
 134  3.288E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.366E-03  0.000E+00  0.000E+00  1.004E+00  9.524E-07
 135  2.974E+01   0.000E+00  0.000E+00  0.000E+00  0.000E+00  0.000E+00  2.367E-03  0.000E+00  0.000E+00  1.005E+00  9.785E-07
