Index   TEMPERATURE   DENSITY    PRESSURE    DIFFUSION  
 185    10270.0      4.039E+09  5.728E-06    1.000E+10
 186    10870.0      2.691E+09  4.039E-06    1.000E+10
 187    11280.0      1.829E+09  2.848E-06    1.000E+10
 188    11550.0      1.261E+09  2.011E-06    1.000E+10
 189    11720.0      8.788E+08  1.422E-06    1.000E+10
 190    11830.0      6.172E+08  1.008E-06    1.000E+10
 191    11890.0      4.357E+08  7.152E-07    1.000E+10
 192    11940.0      3.087E+08  5.089E-07    1.000E+10
 193    11960.0      2.192E+08  3.620E-07    1.000E+10
 194    11980.0      1.559E+08  2.579E-07    1.000E+10
 195    11990.0      1.111E+08  1.839E-07    1.000E+10
 196    11990.0      7.919E+07  1.311E-07    1.000E+10
 197    11990.0      5.649E+07  9.351E-08    1.000E+10
 198    12000.0      4.032E+07  6.679E-08    1.000E+10
