Index   PRESSURE   C6H6       O          O_1       O2         OH         H2O        CO         CO2        HCO        H2CO    
  96   1.489E+03   1.505E-07  1.658E+04  2.467E-03  3.284E+00  1.398E+09  2.560E+15  3.214E+15  5.257E+11  1.049E+08  1.785E+09
  97   1.347E+03   1.406E-07  1.341E+04  1.841E-03  2.660E+00  1.181E+09  2.326E+15  2.925E+15  4.842E+11  8.505E+07  1.473E+09
  98   1.219E+03   1.339E-07  1.083E+04  1.369E-03  2.150E+00  9.974E+08  2.115E+15  2.662E+15  4.462E+11  6.896E+07  1.216E+09
  99   1.102E+03   1.261E-07  8.492E+03  9.782E-04  1.688E+00  8.285E+08  1.923E+15  2.423E+15  4.121E+11  5.540E+07  1.003E+09
 100   9.972E+02   1.238E-07  6.827E+03  7.230E-04  1.359E+00  6.979E+08  1.749E+15  2.205E+15  3.800E+11  4.486E+07  8.279E+08
 101   9.018E+02   1.192E-07  5.324E+03  5.126E-04  1.062E+00  5.779E+08  1.591E+15  2.007E+15  3.512E+11  3.598E+07  6.833E+08
 102   8.161E+02   1.193E-07  4.258E+03  3.763E-04  8.507E-01  4.854E+08  1.448E+15  1.826E+15  3.239E+11  2.908E+07  5.639E+08
 103   7.384E+02   1.160E-07  3.301E+03  2.646E-04  6.609E-01  4.008E+08  1.318E+15  1.663E+15  2.997E+11  2.330E+07  4.659E+08
 104   6.676E+02   1.094E-07  2.480E+03  1.780E-04  4.974E-01  3.249E+08  1.200E+15  1.514E+15  2.777E+11  1.847E+07  3.845E+08
 105   6.038E+02   1.031E-07  1.855E+03  1.191E-04  3.729E-01  2.629E+08  1.093E+15  1.379E+15  2.576E+11  1.463E+07  3.178E+08
 106   5.463E+02   9.686E-08  1.382E+03  7.926E-05  2.785E-01  2.122E+08  9.955E+14  1.257E+15  2.391E+11  1.159E+07  2.628E+08
 107   4.941E+02   8.766E-08  9.948E+02  5.029E-05  2.010E-01  1.681E+08  9.073E+14  1.145E+15  2.225E+11  9.084E+06  2.174E+08
 108   4.470E+02   7.899E-08  7.124E+02  3.168E-05  1.443E-01  1.327E+08  8.273E+14  1.045E+15  2.072E+11  7.112E+06  1.800E+08
 109   4.044E+02   7.066E-08  5.076E+02  1.981E-05  1.031E-01  1.045E+08  7.544E+14  9.525E+14  1.931E+11  5.561E+06  1.491E+08
 110   3.656E+02   6.101E-08  3.484E+02  1.177E-05  7.104E-02  8.061E+07  6.880E+14  8.686E+14  1.804E+11  4.296E+06  1.234E+08
 111   3.308E+02   6.148E-08  2.453E+02  7.243E-06  5.016E-02  6.306E+07  6.276E+14  7.924E+14  1.683E+11  3.348E+06  1.022E+08
 112   2.991E+02   4.368E-07  1.662E+02  4.227E-06  3.409E-02  4.825E+07  5.725E+14  7.228E+14  1.574E+11  2.577E+06  8.468E+07
 113   2.705E+02   1.191E-05  1.119E+02  2.443E-06  2.302E-02  3.681E+07  5.224E+14  6.596E+14  1.473E+11  1.981E+06  7.018E+07
 114   2.447E+02   2.209E-04  7.476E+01  1.398E-06  1.544E-02  2.796E+07  4.769E+14  6.021E+14  1.380E+11  1.520E+06  5.821E+07
 115   2.213E+02   2.546E-03  4.957E+01  7.919E-07  1.027E-02  2.114E+07  4.353E+14  5.496E+14  1.293E+11  1.164E+06  4.829E+07
 116   2.001E+02   1.892E-02  3.264E+01  4.440E-07  6.788E-03  1.592E+07  3.973E+14  5.016E+14  1.213E+11  8.891E+05  4.003E+07
 117   1.811E+02   9.462E-02  2.133E+01  2.463E-07  4.452E-03  1.195E+07  3.628E+14  4.581E+14  1.139E+11  6.779E+05  3.323E+07
 118   1.638E+02   3.359E-01  1.383E+01  1.352E-07  2.899E-03  8.922E+06  3.313E+14  4.183E+14  1.070E+11  5.160E+05  2.758E+07
 119   1.482E+02   8.991E-01  8.907E+00  7.344E-08  1.873E-03  6.636E+06  3.025E+14  3.820E+14  1.006E+11  3.919E+05  2.289E+07
 120   1.340E+02   1.929E+00  5.692E+00  3.947E-08  1.202E-03  4.913E+06  2.762E+14  3.488E+14  9.463E+10  2.969E+05  1.899E+07
 121   1.212E+02   3.465E+00  3.616E+00  2.101E-08  7.669E-04  3.626E+06  2.522E+14  3.185E+14  8.903E+10  2.246E+05  1.576E+07
 122   1.096E+02   5.449E+00  2.293E+00  1.113E-08  4.884E-04  2.670E+06  2.302E+14  2.907E+14  8.378E+10  1.701E+05  1.306E+07
 123   9.912E+01   7.758E+00  1.495E+00  6.136E-09  3.198E-04  1.999E+06  2.102E+14  2.654E+14  7.874E+10  1.298E+05  1.083E+07
 124   8.963E+01   1.024E+01  9.852E-01  3.405E-09  2.116E-04  1.503E+06  1.918E+14  2.422E+14  7.396E+10  9.971E+04  8.978E+06
 125   8.112E+01   1.276E+01  6.715E-01  1.981E-09  1.448E-04  1.152E+06  1.750E+14  2.210E+14  6.939E+10  7.744E+04  7.441E+06
 126   7.338E+01   1.523E+01  4.675E-01  1.174E-09  1.013E-04  8.919E+05  1.597E+14  2.016E+14  6.506E+10  6.082E+04  6.162E+06
 127   6.637E+01   1.758E+01  3.357E-01  7.157E-10  7.310E-05  7.008E+05  1.456E+14  1.839E+14  6.096E+10  4.858E+04  5.100E+06
 128   6.001E+01   1.979E+01  2.534E-01  4.573E-10  5.550E-05  5.643E+05  1.328E+14  1.677E+14  5.706E+10  3.981E+04  4.219E+06
 129   5.430E+01   2.176E+01  2.074E-01  3.269E-10  4.559E-05  4.756E+05  1.210E+14  1.528E+14  5.325E+10  3.343E+04  3.487E+06
 130   4.908E+01   2.356E+01  1.802E-01  2.434E-10  3.988E-05  4.115E+05  1.102E+14  1.392E+14  4.964E+10  2.919E+04  2.881E+06
 131   4.441E+01   2.514E+01  1.702E-01  2.034E-10  3.783E-05  3.733E+05  1.004E+14  1.267E+14  4.616E+10  2.613E+04  2.380E+06
 132   4.019E+01   2.654E+01  1.717E-01  1.847E-10  3.833E-05  3.508E+05  9.131E+13  1.153E+14  4.282E+10  2.396E+04  1.964E+06
 133   3.635E+01   2.776E+01  1.820E-01  1.758E-10  4.083E-05  3.379E+05  8.303E+13  1.048E+14  3.966E+10  2.252E+04  1.620E+06
 134   3.288E+01   2.880E+01  2.009E-01  1.775E-10  4.524E-05  3.329E+05  7.542E+13  9.524E+13  3.666E+10  2.139E+04  1.335E+06
 135   2.974E+01   2.973E+01  2.280E-01  1.839E-10  5.155E-05  3.326E+05  6.853E+13  8.653E+13  3.386E+10  2.062E+04  1.100E+06
 136   2.692E+01   3.051E+01  2.644E-01  1.983E-10  5.993E-05  3.369E+05  6.224E+13  7.859E+13  3.125E+10  1.991E+04  9.066E+05
 137   2.433E+01   3.118E+01  3.079E-01  2.105E-10  7.009E-05  3.408E+05  5.652E+13  7.137E+13  2.884E+10  1.943E+04  7.463E+05
 138   1.752E+01   3.277E+01  5.258E-01  2.713E-10  1.208E-04  3.615E+05  4.125E+13  5.208E+13  2.215E+10  1.812E+04  3.959E+05
 139   1.251E+01   3.363E+01  8.986E-01  3.339E-10  2.089E-04  3.795E+05  2.993E+13  3.780E+13  1.696E+10  1.715E+04  2.073E+05
 140   8.952E+00   3.394E+01  1.607E+00  4.527E-10  3.768E-04  4.109E+05  2.169E+13  2.739E+13  1.290E+10  1.616E+04  1.084E+05
 141   6.407E+00   3.376E+01  3.158E+00  7.293E-10  7.430E-04  4.719E+05  1.567E+13  1.979E+13  9.677E+09  1.530E+04  5.629E+04
 142   4.584E+00   3.328E+01  6.845E+00  1.383E-09  1.610E-03  5.743E+05  1.129E+13  1.425E+13  7.173E+09  1.468E+04  2.901E+04
 143   3.283E+00   3.292E+01  1.601E+01  3.037E-09  3.754E-03  7.337E+05  8.117E+12  1.025E+13  5.261E+09  1.408E+04  1.483E+04
 144   2.351E+00   3.233E+01  3.575E+01  6.617E-09  8.355E-03  9.189E+05  5.829E+12  7.360E+12  3.835E+09  1.294E+04  7.511E+03
 145   1.684E+00   3.227E+01  7.648E+01  1.411E-08  1.783E-02  1.122E+06  4.192E+12  5.292E+12  2.800E+09  1.161E+04  3.770E+03
 146   1.207E+00   3.288E+01  1.507E+02  3.007E-08  3.509E-02  1.315E+06  3.015E+12  3.806E+12  2.046E+09  9.805E+03  1.879E+03
 147   8.644E-01   3.511E+01  2.645E+02  6.580E-08  6.157E-02  1.453E+06  2.168E+12  2.738E+12  1.494E+09  7.646E+03  9.497E+02
 148   6.189E-01   4.347E+01  4.179E+02  1.410E-07  9.737E-02  1.524E+06  1.558E+12  1.967E+12  1.091E+09  5.530E+03  5.099E+02
 149   4.433E-01   7.011E+01  5.846E+02  2.155E-07  1.364E-01  1.504E+06  1.121E+12  1.415E+12  7.989E+08  3.712E+03  3.109E+02
 150   3.176E-01   1.512E+02  7.692E+02  2.167E-07  1.800E-01  1.431E+06  8.079E+11  1.020E+12  5.902E+08  2.412E+03  2.285E+02
 151   2.273E-01   3.975E+02  9.981E+02  1.554E-07  2.349E-01  1.337E+06  5.834E+11  7.362E+11  4.413E+08  1.543E+03  2.098E+02
 152   1.626E-01   1.150E+03  1.304E+03  1.029E-07  3.089E-01  1.244E+06  4.218E+11  5.321E+11  3.327E+08  9.633E+02  2.321E+02
 153   1.163E-01   3.520E+03  1.738E+03  8.689E-08  4.146E-01  1.166E+06  3.052E+11  3.849E+11  2.525E+08  5.857E+02  2.801E+02
 154   8.334E-02   1.054E+04  2.287E+03  8.201E-08  5.504E-01  1.079E+06  2.212E+11  2.787E+11  1.931E+08  3.505E+02  3.284E+02
 155   5.961E-02   2.824E+04  2.963E+03  7.744E-08  7.207E-01  9.837E+05  1.605E+11  2.021E+11  1.488E+08  2.075E+02  3.429E+02
 156   4.263E-02   5.757E+04  3.747E+03  2.848E-07  9.233E-01  8.808E+05  1.167E+11  1.467E+11  1.154E+08  1.206E+02  2.922E+02
 157   3.049E-02   7.812E+04  4.680E+03  1.455E-05  1.172E+00  7.830E+05  8.481E+10  1.065E+11  8.980E+07  6.715E+01  1.923E+02
 158   2.183E-02   6.876E+04  5.828E+03  8.687E-04  1.489E+00  6.982E+05  6.167E+10  7.722E+10  6.989E+07  3.556E+01  9.934E+01
 159   1.562E-02   4.711E+04  7.331E+03  2.380E-02  1.921E+00  6.274E+05  4.481E+10  5.591E+10  5.444E+07  1.833E+01  4.512E+01
 160   1.119E-02   3.345E+04  9.343E+03  2.855E-01  2.539E+00  5.707E+05  3.254E+10  4.041E+10  4.229E+07  9.550E+00  2.279E+01
 161   8.025E-03   2.980E+04  1.333E+04  2.139E+00  3.825E+00  5.416E+05  2.361E+10  2.911E+10  3.289E+07  5.114E+00  1.464E+01
 162   5.761E-03   3.091E+04  2.314E+04  1.023E+01  7.171E+00  5.365E+05  1.712E+10  2.090E+10  2.559E+07  2.833E+00  1.131E+01
