Index PRESSURE   H          HE         H2         C          CH         CH2_1     CH2_3     CH3        CH4        C2      
 125  5.390E+01   1.547E+12  4.830E+16  2.496E+17  3.795E-05  2.542E-03  1.060E+00  6.964E+01  1.665E+07  1.345E+11  5.848E-11
 126  4.874E+01   1.318E+12  4.394E+16  2.271E+17  2.772E-05  1.885E-03  8.154E-01  5.468E+01  1.414E+07  1.221E+11  5.075E-11
 127  4.408E+01   1.138E+12  3.995E+16  2.065E+17  2.131E-05  1.459E-03  6.479E-01  4.423E+01  1.216E+07  1.108E+11  4.825E-11
 128  3.987E+01   9.986E+11  3.631E+16  1.877E+17  1.735E-05  1.185E-03  5.336E-01  3.697E+01  1.063E+07  1.004E+11  4.962E-11
 129  3.608E+01   8.894E+11  3.299E+16  1.705E+17  1.494E-05  1.008E-03  4.551E-01  3.194E+01  9.424E+06  9.096E+10  5.418E-11
 130  3.264E+01   8.017E+11  2.996E+16  1.548E+17  1.346E-05  8.909E-04  3.979E-01  2.827E+01  8.460E+06  8.236E+10  6.052E-11
 131  2.953E+01   7.344E+11  2.719E+16  1.405E+17  1.289E-05  8.277E-04  3.612E-01  2.591E+01  7.716E+06  7.450E+10  7.062E-11
 132  2.672E+01   6.840E+11  2.466E+16  1.275E+17  1.316E-05  8.104E-04  3.408E-01  2.462E+01  7.159E+06  6.735E+10  8.491E-11
 133  2.417E+01   6.472E+11  2.236E+16  1.156E+17  1.427E-05  8.321E-04  3.319E-01  2.415E+01  6.743E+06  6.084E+10  1.040E-10
 134  2.188E+01   6.237E+11  2.027E+16  1.048E+17  1.658E-05  9.030E-04  3.367E-01  2.460E+01  6.469E+06  5.493E+10  1.316E-10
 135  1.980E+01   6.115E+11  1.836E+16  9.488E+16  2.061E-05  1.035E-03  3.556E-01  2.602E+01  6.313E+06  4.954E+10  1.724E-10
 136  1.793E+01   6.096E+11  1.662E+16  8.592E+16  2.730E-05  1.249E-03  3.901E-01  2.851E+01  6.264E+06  4.465E+10  2.332E-10
 137  1.621E+01   6.173E+11  1.503E+16  7.770E+16  3.857E-05  1.581E-03  4.417E-01  3.225E+01  6.311E+06  4.018E+10  3.227E-10
 138  1.467E+01   6.323E+11  1.359E+16  7.027E+16  5.689E-05  2.074E-03  5.141E-01  3.739E+01  6.432E+06  3.614E+10  4.552E-10
 139  1.328E+01   6.551E+11  1.229E+16  6.352E+16  8.785E-05  2.815E-03  6.118E-01  4.432E+01  6.625E+06  3.247E+10  6.499E-10
 140  1.201E+01   6.857E+11  1.110E+16  5.739E+16  1.410E-04  3.946E-03  7.465E-01  5.375E+01  6.896E+06  2.915E+10  9.491E-10
 141  1.087E+01   7.262E+11  1.003E+16  5.183E+16  2.361E-04  5.733E-03  9.358E-01  6.679E+01  7.256E+06  2.614E+10  1.428E-09
 142  7.742E+00   9.099E+11  7.072E+15  3.655E+16  1.525E-03  2.233E-02  2.150E+00  1.483E+02  8.861E+06  1.792E+10  5.877E-09
 143  5.562E+00   1.199E+12  5.006E+15  2.588E+16  1.126E-02  9.950E-02  5.515E+00  3.623E+02  1.129E+07  1.221E+10  2.972E-08
 144  4.003E+00   1.631E+12  3.522E+15  1.820E+16  8.847E-02  4.887E-01  1.555E+01  9.491E+02  1.468E+07  8.165E+09  2.391E-07
 145  2.883E+00   2.231E+12  2.464E+15  1.274E+16  6.769E-01  2.436E+00  4.509E+01  2.513E+03  1.887E+07  5.329E+09  1.985E-06
 146  2.077E+00   3.070E+12  1.716E+15  8.867E+15  5.010E+00  1.215E+01  1.322E+02  6.629E+03  2.366E+07  3.361E+09  1.196E-05
 147  1.499E+00   4.210E+12  1.194E+15  6.167E+15  3.454E+01  5.725E+01  3.694E+02  1.659E+04  2.814E+07  2.017E+09  5.163E-05
 148  1.081E+00   5.640E+12  8.311E+14  4.293E+15  2.038E+02  2.310E+02  8.936E+02  3.626E+04  3.011E+07  1.118E+09  1.744E-04
 149  7.792E-01   7.322E+12  5.807E+14  2.998E+15  9.434E+02  7.331E+02  1.732E+03  6.429E+04  2.724E+07  5.433E+08  5.008E-04
 150  5.611E-01   9.223E+12  4.068E+14  2.098E+15  3.156E+03  1.674E+03  2.449E+03  8.422E+04  1.896E+07  2.101E+08  1.216E-03
 151  4.042E-01   1.117E+13  2.851E+14  1.468E+15  6.513E+03  2.440E+03  2.292E+03  7.318E+04  9.124E+06  5.853E+07  2.401E-03
 152  2.912E-01   1.299E+13  2.001E+14  1.028E+15  7.634E+03  2.072E+03  1.291E+03  3.850E+04  2.777E+06  1.074E+07  3.690E-03
 153  2.095E-01   1.445E+13  1.405E+14  7.188E+14  4.760E+03  9.653E+02  4.141E+02  1.158E+04  5.062E+05  1.234E+06  4.357E-03
 154  1.509E-01   1.540E+13  9.862E+13  5.020E+14  1.565E+03  2.473E+02  7.615E+01  1.997E+03  5.528E+04  8.867E+04  3.928E-03
 155  1.086E-01   1.576E+13  6.934E+13  3.505E+14  3.406E+02  4.295E+01  9.800E+00  2.425E+02  4.435E+03  4.875E+03  2.576E-03
 156  8.022E-02   1.548E+13  4.888E+13  2.449E+14  9.770E+01  1.001E+01  1.741E+00  4.102E+01  5.193E+02  4.078E+02  1.186E-03
 157  5.817E-02   1.468E+13  3.454E+13  1.712E+14  5.226E+01  4.413E+00  6.004E-01  1.358E+01  1.240E+02  7.216E+01  4.036E-04
 158  4.228E-02   1.355E+13  2.442E+13  1.194E+14  3.244E+01  2.313E+00  2.520E-01  5.470E+00  3.694E+01  1.631E+01  1.063E-04
 159  3.077E-02   1.220E+13  1.719E+13  8.275E+13  1.965E+01  1.231E+00  1.107E-01  2.288E+00  1.159E+01  3.965E+00  2.238E-05
 160  2.249E-02   1.072E+13  1.205E+13  5.690E+13  1.175E+01  6.825E-01  5.253E-02  1.019E+00  3.913E+00  1.057E+00  3.764E-06
 161  1.644E-02   9.227E+12  8.473E+12  3.918E+13  7.329E+00  3.908E-01  2.587E-02  4.771E-01  1.429E+00  3.116E-01  4.696E-07
 162  1.201E-02   7.769E+12  5.988E+12  2.707E+13  5.191E+00  2.520E-01  1.445E-02  2.565E-01  6.185E-01  1.114E-01  4.690E-08
 163  8.770E-03   6.442E+12  4.248E+12  1.874E+13  6.433E+00  2.809E-01  1.399E-02  2.414E-01  4.796E-01  7.250E-02  6.582E-09
 164  6.400E-03   5.276E+12  3.028E+12  1.301E+13  3.858E+01  1.490E+00  6.431E-02  1.093E+00  1.827E+00  2.351E-01  1.807E-08
 165  4.671E-03   4.244E+12  2.160E+12  9.041E+12  3.336E+02  1.159E+01  4.417E-01  7.394E+00  1.060E+01  1.181E+00  1.313E-07
 166  3.409E-03   3.371E+12  1.535E+12  6.249E+12  2.302E+03  7.378E+01  2.522E+00  4.131E+01  5.098E+01  4.968E+00  8.638E-07
 167  2.492E-03   2.660E+12  1.089E+12  4.302E+12  1.250E+04  3.745E+02  1.158E+01  1.849E+02  1.965E+02  1.681E+01  5.111E-06
 168  1.823E-03   2.092E+12  7.724E+11  2.947E+12  5.498E+04  1.547E+03  4.334E+01  6.729E+02  6.148E+02  4.611E+01  2.958E-05
 169  1.337E-03   1.644E+12  5.477E+11  2.009E+12  2.005E+05  5.273E+03  1.334E+02  2.014E+03  1.574E+03  1.032E+02  1.787E-04
 170  9.812E-04   1.293E+12  3.884E+11  1.362E+12  5.976E+05  1.455E+04  3.291E+02  4.840E+03  3.220E+03  1.832E+02  1.016E-03
 171  7.220E-04   1.017E+12  2.750E+11  9.133E+11  1.443E+06  3.247E+04  6.535E+02  9.329E+03  5.220E+03  2.554E+02  4.745E-03
 172  5.330E-04   7.992E+11  1.942E+11  6.043E+11  2.815E+06  5.874E+04  1.047E+03  1.442E+04  6.678E+03  2.781E+02  1.649E-02
