Index  PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
 112  1.986E+02   2.191E-01  5.988E+06  5.890E+01  3.946E+05  2.817E+00  7.367E+02  2.152E-04  2.279E-02  2.110E-01  7.574E-02
 113  1.797E+02   1.361E-01  4.728E+06  4.205E+01  3.303E+05  2.124E+00  6.300E+02  1.542E-04  1.586E-02  1.609E-01  5.748E-02
 114  1.624E+02   8.088E-02  3.661E+06  2.930E+01  2.748E+05  1.584E+00  5.391E+02  1.091E-04  1.067E-02  1.201E-01  4.265E-02
 115  1.469E+02   4.915E-02  2.863E+06  2.067E+01  2.292E+05  1.187E+00  4.612E+02  8.082E-05  7.298E-03  9.067E-02  3.202E-02
 116  1.329E+02   3.068E-02  2.268E+06  1.481E+01  1.923E+05  8.977E-01  3.948E+02  6.283E-05  5.100E-03  6.942E-02  2.439E-02
 117  1.202E+02   1.911E-02  1.801E+06  1.063E+01  1.622E+05  6.816E-01  3.396E+02  5.021E-05  3.565E-03  5.328E-02  1.862E-02
 118  1.087E+02   1.225E-02  1.449E+06  7.750E+00  1.374E+05  5.217E-01  2.921E+02  4.194E-05  2.546E-03  4.149E-02  1.442E-02
 119  9.839E+01   8.093E-03  1.184E+06  5.750E+00  1.172E+05  4.029E-01  2.514E+02  3.650E-05  1.864E-03  3.285E-02  1.137E-02
 120  8.897E+01   5.396E-03  9.778E+05  4.316E+00  1.012E+05  3.153E-01  2.185E+02  3.271E-05  1.379E-03  2.629E-02  9.052E-03
 121  8.048E+01   3.737E-03  8.245E+05  3.317E+00  8.836E+04  2.502E-01  1.907E+02  3.046E-05  1.052E-03  2.152E-02  7.377E-03
 122  7.280E+01   2.714E-03  7.159E+05  2.631E+00  7.862E+04  2.029E-01  1.678E+02  2.965E-05  8.350E-04  1.818E-02  6.205E-03
 123  6.584E+01   2.053E-03  6.462E+05  2.177E+00  7.274E+04  1.719E-01  1.525E+02  3.025E-05  6.913E-04  1.595E-02  5.422E-03
 124  5.958E+01   1.705E-03  6.169E+05  1.908E+00  6.955E+04  1.508E-01  1.402E+02  3.302E-05  6.172E-04  1.487E-02  5.041E-03
 125  5.390E+01   1.507E-03  6.250E+05  1.782E+00  7.057E+04  1.411E-01  1.355E+02  3.844E-05  5.876E-04  1.472E-02  4.972E-03
 126  4.874E+01   1.422E-03  6.731E+05  1.776E+00  7.608E+04  1.409E-01  1.387E+02  4.776E-05  5.969E-04  1.547E-02  5.208E-03
 127  4.408E+01   1.447E-03  7.648E+05  1.876E+00  8.555E+04  1.474E-01  1.469E+02  6.295E-05  6.482E-04  1.721E-02  5.776E-03
 128  3.987E+01   1.563E-03  9.013E+05  2.067E+00  9.863E+04  1.589E-01  1.590E+02  8.637E-05  7.406E-04  1.989E-02  6.658E-03
 129  3.608E+01   1.761E-03  1.082E+06  2.333E+00  1.146E+05  1.735E-01  1.730E+02  1.211E-04  8.743E-04  2.348E-02  7.844E-03
 130  3.264E+01   2.006E-03  1.297E+06  2.661E+00  1.328E+05  1.914E-01  1.897E+02  1.700E-04  1.043E-03  2.766E-02  9.224E-03
 131  2.953E+01   2.341E-03  1.553E+06  3.052E+00  1.520E+05  2.097E-01  2.044E+02  2.391E-04  1.263E-03  3.265E-02  1.087E-02
 132  2.672E+01   2.761E-03  1.831E+06  3.470E+00  1.692E+05  2.247E-01  2.128E+02  3.322E-04  1.529E-03  3.803E-02  1.265E-02
 133  2.417E+01   3.263E-03  2.129E+06  3.947E+00  1.855E+05  2.410E-01  2.196E+02  4.558E-04  1.855E-03  4.369E-02  1.452E-02
 134  2.188E+01   3.907E-03  2.442E+06  4.463E+00  1.980E+05  2.535E-01  2.190E+02  6.184E-04  2.258E-03  4.962E-02  1.649E-02
 135  1.980E+01   4.739E-03  2.761E+06  5.004E+00  2.056E+05  2.610E-01  2.103E+02  8.292E-04  2.753E-03  5.570E-02  1.851E-02
 136  1.793E+01   5.820E-03  3.080E+06  5.571E+00  2.079E+05  2.632E-01  1.950E+02  1.099E-03  3.365E-03  6.186E-02  2.057E-02
 137  1.621E+01   7.193E-03  3.400E+06  6.219E+00  2.074E+05  2.659E-01  1.788E+02  1.446E-03  4.135E-03  6.794E-02  2.261E-02
 138  1.467E+01   8.937E-03  3.695E+06  6.845E+00  2.013E+05  2.614E-01  1.579E+02  1.877E-03  5.055E-03  7.366E-02  2.454E-02
 139  1.328E+01   1.111E-02  3.971E+06  7.520E+00  1.927E+05  2.563E-01  1.379E+02  2.410E-03  6.177E-03  7.893E-02  2.633E-02
 140  1.201E+01   1.393E-02  4.225E+06  8.171E+00  1.801E+05  2.454E-01  1.164E+02  3.071E-03  7.544E-03  8.393E-02  2.804E-02
 141  1.087E+01   1.774E-02  4.466E+06  8.824E+00  1.651E+05  2.305E-01  9.560E+01  3.891E-03  9.243E-03  8.884E-02  2.972E-02
 142  7.742E+00   3.968E-02  5.063E+06  1.080E+01  1.115E+05  1.711E-01  4.471E+01  8.218E-03  1.778E-02  1.012E-01  3.411E-02
 143  5.562E+00   9.145E-02  5.330E+06  1.186E+01  6.386E+04  1.056E-01  1.828E+01  1.595E-02  3.271E-02  1.082E-01  3.677E-02
 144  4.003E+00   2.250E-01  5.302E+06  1.130E+01  3.004E+04  4.984E-02  7.010E+00  2.908E-02  5.742E-02  1.106E-01  3.805E-02
 145  2.883E+00   5.632E-01  5.009E+06  9.478E+00  1.217E+04  1.917E-02  3.082E+00  4.898E-02  9.405E-02  1.074E-01  3.749E-02
 146  2.077E+00   1.437E+00  4.557E+06  7.247E+00  4.420E+03  6.530E-03  1.511E+00  7.474E-02  1.439E-01  9.898E-02  3.514E-02
 147  1.499E+00   3.562E+00  4.000E+06  5.328E+00  1.553E+03  2.430E-03  7.282E-01  1.023E-01  2.012E-01  8.399E-02  3.038E-02
 148  1.081E+00   7.906E+00  3.326E+06  3.857E+00  5.596E+02  1.217E-03  3.087E-01  1.310E-01  2.421E-01  6.175E-02  2.272E-02
 149  7.792E-01   1.488E+01  2.525E+06  2.645E+00  2.024E+02  7.226E-04  1.013E-01  1.504E-01  2.274E-01  3.584E-02  1.339E-02
 150  5.611E-01   2.230E+01  1.649E+06  1.549E+00  6.525E+01  3.429E-04  2.141E-02  1.305E-01  1.432E-01  1.403E-02  5.312E-03
 151  4.042E-01   2.611E+01  8.828E+05  7.145E-01  1.666E+01  8.857E-05  2.263E-03  6.111E-02  5.092E-02  3.230E-03  1.238E-03
 152  2.912E-01   2.375E+01  3.890E+05  2.728E-01  3.496E+00  1.061E-05  1.024E-04  1.409E-02  9.406E-03  4.000E-04  1.551E-04
 153  2.095E-01   1.706E+01  1.436E+05  9.382E-02  6.981E-01  7.446E-07  1.919E-06  1.515E-03  8.719E-04  2.583E-05  1.013E-05
 154  1.509E-01   9.682E+00  4.378E+04  2.898E-02  1.345E-01  7.177E-08  3.174E-08  7.056E-05  3.993E-05  8.607E-07  3.410E-07
