Index PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
  94  1.208E+03   1.320E+04  2.577E+02  4.658E+05  1.444E+02  1.557E+05  3.100E+01  3.202E+02  6.264E-04  3.153E-01  6.447E+00
  95  1.093E+03   1.003E+04  1.901E+02  3.682E+05  1.064E+02  1.215E+05  2.268E+01  2.399E+02  4.289E-04  2.375E-01  4.954E+00
  96  9.889E+02   7.750E+03  1.413E+02  2.942E+05  8.005E+01  9.608E+04  1.684E+01  1.813E+02  3.019E-04  1.823E-01  3.860E+00
  97  8.941E+02   5.951E+03  1.041E+02  2.356E+05  5.963E+01  7.602E+04  1.248E+01  1.379E+02  2.124E-04  1.365E-01  2.954E+00
  98  8.089E+02   4.652E+03  7.736E+01  1.908E+05  4.540E+01  6.096E+04  9.391E+00  1.058E+02  1.537E-04  1.042E-01  2.292E+00
  99  7.321E+02   3.705E+03  5.790E+01  1.563E+05  3.535E+01  4.955E+04  7.175E+00  8.192E+01  1.146E-04  8.114E-02  1.804E+00
 100  6.622E+02   2.932E+03  4.303E+01  1.284E+05  2.726E+01  4.033E+04  5.477E+00  6.388E+01  8.541E-05  6.161E-02  1.394E+00
 101  5.989E+02   2.335E+03  3.198E+01  1.062E+05  2.114E+01  3.306E+04  4.211E+00  5.022E+01  6.460E-05  4.666E-02  1.076E+00
 102  5.419E+02   1.870E+03  2.380E+01  8.853E+04  1.649E+01  2.729E+04  3.261E+00  3.980E+01  4.949E-05  3.524E-02  8.285E-01
 103  4.902E+02   1.485E+03  1.760E+01  7.386E+04  1.269E+01  2.252E+04  2.519E+00  3.173E+01  3.774E-05  2.591E-02  6.264E-01
 104  4.432E+02   1.166E+03  1.289E+01  6.157E+04  9.623E+00  1.852E+04  1.936E+00  2.538E+01  2.854E-05  1.854E-02  4.643E-01
 105  4.010E+02   9.178E+02  9.459E+00  5.155E+04  7.306E+00  1.529E+04  1.494E+00  2.042E+01  2.171E-05  1.321E-02  3.435E-01
 106  3.630E+02   7.228E+02  6.941E+00  4.327E+04  5.548E+00  1.266E+04  1.156E+00  1.650E+01  1.656E-05  9.372E-03  2.533E-01
 107  3.282E+02   5.524E+02  5.000E+00  3.596E+04  4.050E+00  1.033E+04  8.784E-01  1.332E+01  1.223E-05  6.294E-03  1.796E-01
 108  2.968E+02   4.213E+02  3.596E+00  2.990E+04  2.950E+00  8.429E+03  6.674E-01  1.077E+01  9.025E-06  4.199E-03  1.269E-01
 109  2.685E+02   3.205E+02  2.585E+00  2.487E+04  2.139E+00  6.875E+03  5.068E-01  8.725E+00  6.638E-06  2.785E-03  8.924E-02
 110  2.429E+02   2.392E+02  1.839E+00  2.055E+04  1.514E+00  5.557E+03  3.808E-01  7.067E+00  4.785E-06  1.785E-03  6.131E-02
 111  2.196E+02   1.777E+02  1.302E+00  1.695E+04  1.065E+00  4.479E+03  2.851E-01  5.718E+00  3.426E-06  1.135E-03  4.185E-02
 112  1.986E+02   1.293E+02  9.134E-01  1.389E+04  7.296E-01  3.575E+03  2.111E-01  4.629E+00  2.405E-06  6.965E-04  2.789E-02
 113  1.797E+02   9.508E+01  6.447E-01  1.142E+04  5.064E-01  2.867E+03  1.573E-01  3.750E+00  1.699E-06  4.355E-04  1.883E-02
 114  1.624E+02   6.841E+01  4.491E-01  9.315E+03  3.415E-01  2.272E+03  1.157E-01  3.034E+00  1.180E-06  2.622E-04  1.238E-02
 115  1.469E+02   4.975E+01  3.150E-01  7.628E+03  2.334E-01  1.809E+03  8.562E-02  2.456E+00  8.272E-07  1.610E-04  8.247E-03
 116  1.329E+02   3.661E+01  2.225E-01  6.271E+03  1.618E-01  1.447E+03  6.385E-02  1.989E+00  5.863E-07  1.009E-04  5.577E-03
 117  1.202E+02   2.683E+01  1.567E-01  5.147E+03  1.114E-01  1.153E+03  4.749E-02  1.612E+00  4.169E-07  6.270E-05  3.752E-03
 118  1.087E+02   1.991E+01  1.112E-01  4.241E+03  7.780E-02  9.227E+02  3.558E-02  1.306E+00  2.999E-07  3.989E-05  2.564E-03
 119  9.839E+01   1.496E+01  7.951E-02  3.512E+03  5.523E-02  7.427E+02  2.689E-02  1.059E+00  2.184E-07  2.597E-05  1.781E-03
 120  8.897E+01   1.124E+01  5.676E-02  2.905E+03  3.898E-02  5.948E+02  2.028E-02  8.606E-01  1.611E-07  1.684E-05  1.235E-03
 121  8.048E+01   8.554E+00  4.086E-02  2.413E+03  2.798E-02  4.788E+02  1.543E-02  6.993E-01  1.210E-07  1.120E-05  8.715E-04
 122  7.280E+01   6.607E+00  2.964E-02  2.014E+03  2.043E-02  3.874E+02  1.184E-02  5.675E-01  9.323E-08  7.648E-06  6.260E-04
 123  6.584E+01   5.133E+00  2.159E-02  1.686E+03  1.490E-02  3.120E+02  9.111E-03  4.647E-01  7.502E-08  5.239E-06  4.529E-04
 124  5.958E+01   4.093E+00  1.596E-02  1.422E+03  1.131E-02  2.557E+02  7.129E-03  3.770E-01  6.311E-08  3.787E-06  3.381E-04
 125  5.390E+01   3.288E+00  1.186E-02  1.203E+03  8.586E-03  2.087E+02  5.598E-03  3.088E-01  5.659E-08  2.751E-06  2.547E-04
 126  4.874E+01   2.660E+00  8.854E-03  1.021E+03  6.519E-03  1.696E+02  4.410E-03  2.552E-01  5.415E-08  2.008E-06  1.934E-04
 127  4.408E+01   2.192E+00  6.688E-03  8.720E+02  5.063E-03  1.389E+02  3.513E-03  2.110E-01  5.457E-08  1.513E-06  1.502E-04
 128  3.987E+01   1.845E+00  5.125E-03  7.502E+02  4.033E-03  1.148E+02  2.833E-03  1.749E-01  5.693E-08  1.180E-06  1.196E-04
 129  3.608E+01   1.586E+00  3.988E-03  6.505E+02  3.300E-03  9.585E+01  2.313E-03  1.453E-01  6.046E-08  9.529E-07  9.766E-05
 130  3.264E+01   1.392E+00  3.156E-03  5.689E+02  2.735E-03  8.008E+01  1.911E-03  1.234E-01  6.490E-08  7.831E-07  8.174E-05
 131  2.953E+01   1.249E+00  2.543E-03  5.013E+02  2.336E-03  6.773E+01  1.599E-03  1.051E-01  6.950E-08  6.670E-07  7.019E-05
 132  2.672E+01   1.148E+00  2.092E-03  4.459E+02  2.058E-03  5.807E+01  1.357E-03  8.976E-02  7.325E-08  5.900E-07  6.203E-05
 133  2.417E+01   1.082E+00  1.764E-03  4.005E+02  1.849E-03  4.996E+01  1.168E-03  7.881E-02  7.722E-08  5.332E-07  5.654E-05
