Index  PRESSURE   C6H6       O          O(1D      O2         OH         H2O        CO         CO2        HCO        H2CO    
  80  4.906E+03   6.657E-09  6.363E+06  9.504E+00  1.147E+03  6.735E+10  6.825E+15  9.204E+15  1.005E+12  3.465E+09  1.595E+10
  81  4.439E+03   3.571E-09  5.358E+06  7.496E+00  9.658E+02  5.821E+10  6.195E+15  8.380E+15  9.229E+11  2.847E+09  1.316E+10
  82  4.016E+03   1.868E-09  4.591E+06  6.057E+00  8.271E+02  5.079E+10  5.621E+15  7.627E+15  8.458E+11  2.351E+09  1.085E+10
  83  3.633E+03   9.294E-10  4.084E+06  5.153E+00  7.351E+02  4.525E+10  5.094E+15  6.932E+15  7.728E+11  1.961E+09  8.929E+09
  84  3.288E+03   4.375E-10  3.773E+06  4.621E+00  6.784E+02  4.117E+10  4.612E+15  6.295E+15  7.035E+11  1.653E+09  7.341E+09
  85  2.976E+03   1.976E-10  3.624E+06  4.372E+00  6.510E+02  3.828E+10  4.174E+15  5.711E+15  6.387E+11  1.410E+09  6.030E+09
  86  2.690E+03   8.896E-11  3.414E+06  4.027E+00  6.126E+02  3.518E+10  3.774E+15  5.175E+15  5.801E+11  1.193E+09  4.942E+09
  87  2.434E+03   4.084E-11  3.217E+06  3.710E+00  5.768E+02  3.237E+10  3.417E+15  4.694E+15  5.273E+11  1.011E+09  4.056E+09
  88  2.203E+03   1.914E-11  2.971E+06  3.325E+00  5.328E+02  2.946E+10  3.097E+15  4.261E+15  4.805E+11  8.520E+08  3.335E+09
  89  1.994E+03   9.343E-12  2.690E+06  2.898E+00  4.824E+02  2.652E+10  2.809E+15  3.869E+15  4.385E+11  7.139E+08  2.743E+09
  90  1.803E+03   4.789E-12  2.340E+06  2.389E+00  4.199E+02  2.334E+10  2.550E+15  3.515E+15  4.015E+11  5.910E+08  2.257E+09
  91  1.631E+03   2.577E-12  1.992E+06  1.913E+00  3.578E+02  2.031E+10  2.317E+15  3.196E+15  3.683E+11  4.864E+08  1.859E+09
  92  1.476E+03   1.443E-12  1.660E+06  1.486E+00  2.985E+02  1.746E+10  2.107E+15  2.908E+15  3.385E+11  3.977E+08  1.532E+09
  93  1.335E+03   8.354E-13  1.352E+06  1.119E+00  2.435E+02  1.482E+10  1.916E+15  2.646E+15  3.117E+11  3.232E+08  1.264E+09
  94  1.208E+03   5.075E-13  1.099E+06  8.398E-01  1.982E+02  1.257E+10  1.744E+15  2.409E+15  2.872E+11  2.626E+08  1.043E+09
  95  1.093E+03   3.151E-13  8.724E+05  6.098E-01  1.575E+02  1.051E+10  1.587E+15  2.194E+15  2.650E+11  2.117E+08  8.607E+08
  96  9.889E+02   2.084E-13  7.053E+05  4.544E-01  1.276E+02  8.891E+09  1.445E+15  1.997E+15  2.443E+11  1.717E+08  7.105E+08
  97  8.941E+02   1.413E-13  5.567E+05  3.274E-01  1.009E+02  7.413E+09  1.315E+15  1.818E+15  2.255E+11  1.382E+08  5.861E+08
  98  8.089E+02   1.023E-13  4.476E+05  2.421E-01  8.121E+01  6.248E+09  1.197E+15  1.655E+15  2.079E+11  1.119E+08  4.836E+08
  99  7.321E+02   7.935E-14  3.670E+05  1.839E-01  6.670E+01  5.325E+09  1.089E+15  1.506E+15  1.914E+11  9.110E+07  3.991E+08
 100  6.622E+02   6.307E-14  2.936E+05  1.351E-01  5.345E+01  4.475E+09  9.910E+14  1.371E+15  1.766E+11  7.362E+07  3.292E+08
 101  5.989E+02   5.259E-14  2.342E+05  9.879E-02  4.272E+01  3.755E+09  9.018E+14  1.248E+15  1.628E+11  5.942E+07  2.715E+08
 102  5.419E+02   4.559E-14  1.863E+05  7.197E-02  3.405E+01  3.146E+09  8.210E+14  1.136E+15  1.503E+11  4.796E+07  2.241E+08
 103  4.902E+02   3.989E-14  1.444E+05  5.057E-02  2.644E+01  2.597E+09  7.479E+14  1.035E+15  1.390E+11  3.842E+07  1.852E+08
 104  4.432E+02   3.503E-14  1.089E+05  3.422E-02  1.998E+01  2.111E+09  6.811E+14  9.425E+14  1.288E+11  3.050E+07  1.529E+08
