Index	PRESSURE   HC3N       C2H2CN     C2H3CN     NO         NO2        N2O        HNO        HNO2       NCO        HNCO    
 101  9.018E+02   5.803E+01  2.312E-04  2.087E+01  1.128E+06  6.856E-06  1.286E+00  1.918E+02  1.126E-04  9.210E+02  2.370E+08
 102  8.161E+02   5.311E+01  1.955E-04  1.892E+01  9.933E+05  5.534E-06  1.132E+00  1.599E+02  9.094E-05  7.680E+02  2.107E+08
 103  7.384E+02   4.745E+01  1.607E-04  1.696E+01  8.545E+05  4.307E-06  9.656E-01  1.301E+02  7.137E-05  6.292E+02  1.870E+08
 104  6.676E+02   4.135E+01  1.282E-04  1.500E+01  7.172E+05  3.231E-06  7.978E-01  1.031E+02  5.434E-05  5.056E+02  1.654E+08
 105  6.038E+02   3.593E+01  1.020E-04  1.326E+01  6.000E+05  2.412E-06  6.559E-01  8.147E+01  4.123E-05  4.053E+02  1.463E+08
 106  5.463E+02   3.113E+01  8.088E-05  1.171E+01  5.003E+05  1.792E-06  5.368E-01  6.417E+01  3.117E-05  3.245E+02  1.294E+08
 107  4.941E+02   2.624E+01  6.209E-05  1.020E+01  4.062E+05  1.279E-06  4.242E-01  4.917E+01  2.281E-05  2.544E+02  1.142E+08
 108  4.470E+02   2.202E+01  4.744E-05  8.867E+00  3.284E+05  9.077E-07  3.330E-01  3.751E+01  1.661E-05  1.989E+02  1.007E+08
 109  4.044E+02   1.840E+01  3.606E-05  7.691E+00  2.644E+05  6.400E-07  2.599E-01  2.851E+01  1.204E-05  1.551E+02  8.882E+07
 110  3.656E+02   1.494E+01  2.650E-05  6.574E+00  2.069E+05  4.323E-07  1.951E-01  2.102E+01  8.430E-06  1.183E+02  7.802E+07
 111  3.308E+02   1.236E+01  1.991E-05  5.673E+00  1.650E+05  3.005E-07  1.501E-01  1.582E+01  6.040E-06  9.156E+01  6.873E+07
 112  2.991E+02   9.932E+00  1.445E-05  4.823E+00  1.278E+05  1.998E-07  1.109E-01  1.154E+01  4.175E-06  6.928E+01  6.033E+07
 113  2.705E+02   7.927E+00  1.041E-05  4.087E+00  9.839E+04  1.318E-07  8.121E-02  8.374E+00  2.868E-06  5.222E+01  5.293E+07
 114  2.447E+02   6.293E+00  7.453E-06  3.455E+00  7.531E+04  8.616E-08  5.892E-02  6.039E+00  1.956E-06  3.919E+01  4.642E+07
 115  2.213E+02   4.967E+00  5.299E-06  2.913E+00  5.731E+04  5.583E-08  4.235E-02  4.330E+00  1.325E-06  2.929E+01  4.069E+07
 116  2.001E+02   3.897E+00  3.742E-06  2.448E+00  4.339E+04  3.589E-08  3.018E-02  3.087E+00  8.920E-07  2.180E+01  3.564E+07
 117  1.811E+02   3.040E+00  2.625E-06  2.052E+00  3.264E+04  2.286E-08  2.129E-02  2.187E+00  5.963E-07  1.615E+01  3.120E+07
 118  1.638E+02   2.358E+00  1.829E-06  1.716E+00  2.442E+04  1.443E-08  1.487E-02  1.540E+00  3.960E-07  1.191E+01  2.731E+07
 119  1.482E+02   1.821E+00  1.268E-06  1.433E+00  1.818E+04  9.041E-09  1.029E-02  1.078E+00  2.614E-07  8.744E+00  2.387E+07
 120  1.340E+02   1.399E+00  8.742E-07  1.195E+00  1.346E+04  5.614E-09  7.053E-03  7.509E-01  1.715E-07  6.391E+00  2.085E+07
 121  1.212E+02   1.075E+00  6.023E-07  9.985E-01  9.941E+03  3.466E-09  4.804E-03  5.205E-01  1.123E-07  4.653E+00  1.819E+07
