Index   PRESSURE   C3H5       C3H6       C3H7       C3H8       C4H        C4H2       C4H3       C4H4       C4H5       C4H6    
 102   8.161E+02   6.442E+00  2.695E+02  1.111E-03  4.782E-01  1.388E-09  6.829E-02  2.187E-04  4.186E-02  2.476E-05  1.433E-02
 103   7.384E+02   5.421E+00  2.333E+02  8.790E-04  4.005E-01  1.085E-09  5.992E-02  1.789E-04  3.652E-02  2.041E-05  1.245E-02
 104   6.676E+02   4.455E+00  1.992E+02  6.821E-04  3.333E-01  7.927E-10  5.016E-02  1.394E-04  3.073E-02  1.621E-05  1.056E-02
 105   6.038E+02   3.658E+00  1.701E+02  5.292E-04  2.778E-01  5.751E-10  4.181E-02  1.081E-04  2.579E-02  1.284E-05  8.952E-03
 106   5.463E+02   2.997E+00  1.452E+02  4.102E-04  2.319E-01  4.136E-10  3.465E-02  8.329E-05  2.156E-02  1.013E-05  7.575E-03
 107   4.941E+02   2.389E+00  1.218E+02  3.108E-04  1.919E-01  2.758E-10  2.722E-02  6.068E-05  1.731E-02  7.667E-06  6.226E-03
 108   4.470E+02   1.899E+00  1.021E+02  2.350E-04  1.588E-01  1.819E-10  2.122E-02  4.387E-05  1.380E-02  5.767E-06  5.100E-03
 109   4.044E+02   1.502E+00  8.526E+01  1.770E-04  1.313E-01  1.184E-10  1.639E-02  3.141E-05  1.093E-02  4.305E-06  4.157E-03
 110   3.656E+02   1.153E+00  6.995E+01  1.301E-04  1.075E-01  7.123E-11  1.198E-02  2.120E-05  8.292E-03  3.075E-06  3.287E-03
 111   3.308E+02   9.033E-01  5.806E+01  9.721E-05  8.855E-02  4.517E-11  9.082E-03  1.488E-05  6.466E-03  2.260E-06  2.651E-03
 112   2.991E+02   6.865E-01  4.731E+01  7.083E-05  7.229E-02  2.640E-11  6.505E-03  9.840E-06  4.823E-03  1.587E-06  2.072E-03
 113   2.705E+02   5.183E-01  3.838E+01  5.134E-05  5.887E-02  1.518E-11  4.604E-03  6.425E-06  3.560E-03  1.102E-06  1.607E-03
 114   2.447E+02   3.891E-01  3.103E+01  3.705E-05  4.792E-02  8.599E-12  3.227E-03  4.154E-06  2.603E-03  7.585E-07  1.239E-03
 115   2.213E+02   2.905E-01  2.500E+01  2.661E-05  3.893E-02  4.828E-12  2.252E-03  2.672E-06  1.887E-03  5.177E-07  9.499E-04
 116   2.001E+02   2.154E-01  2.006E+01  1.901E-05  3.156E-02  2.756E-12  1.606E-03  1.755E-06  1.357E-03  3.503E-07  7.235E-04
 117   1.811E+02   1.589E-01  1.604E+01  1.353E-05  2.557E-02  1.769E-12  1.294E-03  1.304E-06  9.683E-04  2.361E-07  5.480E-04
 118   1.638E+02   1.165E-01  1.277E+01  9.572E-06  2.068E-02  1.511E-12  1.394E-03  1.295E-06  6.914E-04  1.606E-07  4.134E-04
 119   1.482E+02   8.499E-02  1.015E+01  6.753E-06  1.674E-02  1.658E-12  1.941E-03  1.659E-06  5.000E-04  1.130E-07  3.124E-04
 120   1.340E+02   6.175E-02  8.042E+00  4.746E-06  1.355E-02  1.898E-12  2.829E-03  2.227E-06  3.710E-04  8.419E-08  2.376E-04
 121   1.212E+02   4.487E-02  6.381E+00  3.341E-06  1.104E-02  1.996E-12  3.809E-03  2.761E-06  2.856E-04  6.711E-08  1.843E-04
 122   1.096E+02   3.283E-02  5.090E+00  2.368E-06  9.119E-03  1.893E-12  4.632E-03  3.101E-06  2.287E-04  5.649E-08  1.473E-04
 123   9.912E+01   2.450E-02  4.111E+00  1.706E-06  7.546E-03  1.719E-12  5.295E-03  3.275E-06  1.914E-04  4.961E-08  1.222E-04
 124   8.963E+01   1.882E-02  3.392E+00  1.265E-06  6.493E-03  1.455E-12  5.620E-03  3.240E-06  1.645E-04  4.432E-08  1.064E-04
 125   8.112E+01   1.503E-02  2.882E+00  9.716E-07  5.705E-03  1.221E-12  5.790E-03  3.120E-06  1.460E-04  4.016E-08  9.675E-05
 126   7.338E+01   1.272E-02  2.560E+00  7.900E-07  5.379E-03  9.892E-13  5.702E-03  2.912E-06  1.326E-04  3.676E-08  9.323E-05
 127   6.637E+01   1.162E-02  2.411E+00  6.932E-07  5.559E-03  7.868E-13  5.431E-03  2.677E-06  1.246E-04  3.437E-08  9.625E-05
 128   6.001E+01   1.164E-02  2.422E+00  6.662E-07  6.435E-03  6.279E-13  5.069E-03  2.479E-06  1.236E-04  3.356E-08  1.082E-04
 129   5.430E+01   1.251E-02  2.563E+00  6.842E-07  7.697E-03  5.474E-13  4.904E-03  2.395E-06  1.342E-04  3.513E-08  1.302E-04
 130   4.908E+01   1.472E-02  2.837E+00  7.691E-07  1.066E-02  4.819E-13  4.682E-03  2.403E-06  1.576E-04  4.026E-08  1.739E-04
 131   4.441E+01   1.796E-02  3.195E+00  8.923E-07  1.467E-02  4.764E-13  4.758E-03  2.580E-06  2.017E-04  5.061E-08  2.425E-04
 132   4.019E+01   2.253E-02  3.617E+00  1.061E-06  2.047E-02  5.159E-13  5.088E-03  2.962E-06  2.726E-04  6.895E-08  3.477E-04
 133   3.635E+01   2.890E-02  4.074E+00  1.287E-06  2.954E-02  5.924E-13  5.634E-03  3.609E-06  3.770E-04  1.002E-07  5.046E-04
 134   3.288E+01   3.690E-02  4.529E+00  1.549E-06  4.140E-02  7.280E-13  6.494E-03  4.589E-06  5.230E-04  1.492E-07  7.171E-04
 135   2.974E+01   4.721E-02  4.966E+00  1.866E-06  5.827E-02  9.237E-13  7.626E-03  6.033E-06  7.168E-04  2.256E-07  9.987E-04
