Index  PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
 107   4.941E+02   4.123E+03  1.620E+14  3.034E+05  5.214E+08  2.248E+13  5.310E+02  4.862E+01  2.249E-02  4.057E-01  7.864E+00
 108   4.470E+02   3.039E+03  1.477E+14  2.306E+05  4.255E+08  2.049E+13  3.891E+02  3.949E+01  1.728E-02  3.131E-01  6.186E+00
 109   4.044E+02   2.227E+03  1.347E+14  1.746E+05  3.464E+08  1.868E+13  2.843E+02  3.205E+01  1.325E-02  2.409E-01  4.852E+00
 110   3.656E+02   1.570E+03  1.228E+14  1.282E+05  2.772E+08  1.702E+13  2.039E+02  2.564E+01  9.959E-03  1.808E-01  3.744E+00
 111   3.308E+02   1.136E+03  1.121E+14  9.607E+04  2.244E+08  1.552E+13  1.481E+02  2.076E+01  7.599E-03  1.382E-01  2.915E+00
 112   2.991E+02   7.899E+02  1.022E+14  6.978E+04  1.784E+08  1.414E+13  1.056E+02  1.655E+01  5.678E-03  1.029E-01  2.233E+00
 113   2.705E+02   5.448E+02  9.328E+13  5.038E+04  1.414E+08  1.290E+13  7.498E+01  1.319E+01  4.232E-03  7.634E-02  1.703E+00
 114   2.447E+02   3.729E+02  8.516E+13  3.617E+04  1.118E+08  1.177E+13  5.311E+01  1.049E+01  3.144E-03  5.638E-02  1.294E+00
 115   2.213E+02   2.533E+02  7.773E+13  2.580E+04  8.798E+07  1.073E+13  3.747E+01  8.323E+00  2.328E-03  4.145E-02  9.781E-01
 116   2.001E+02   1.707E+02  7.094E+13  1.830E+04  6.902E+07  9.787E+12  2.633E+01  6.593E+00  1.717E-03  3.034E-02  7.363E-01
 117   1.811E+02   1.142E+02  6.479E+13  1.290E+04  5.397E+07  8.930E+12  1.845E+01  5.215E+00  1.263E-03  2.212E-02  5.520E-01
 118   1.638E+02   7.573E+01  5.916E+13  9.031E+03  4.204E+07  8.147E+12  1.287E+01  4.114E+00  9.247E-04  1.604E-02  4.118E-01
 119   1.482E+02   4.986E+01  5.403E+13  6.288E+03  3.264E+07  7.433E+12  8.952E+00  3.240E+00  6.749E-04  1.159E-02  3.060E-01
 120   1.340E+02   3.260E+01  4.933E+13  4.351E+03  2.525E+07  6.780E+12  6.199E+00  2.546E+00  4.906E-04  8.344E-03  2.264E-01
 121   1.212E+02   2.120E+01  4.504E+13  2.997E+03  1.947E+07  6.184E+12  4.280E+00  1.998E+00  3.556E-04  5.991E-03  1.669E-01
 122   1.096E+02   1.381E+01  4.112E+13  2.065E+03  1.501E+07  5.639E+12  2.952E+00  1.573E+00  2.582E-04  4.320E-03  1.234E-01
 123   9.912E+01   9.246E+00  3.753E+13  1.454E+03  1.172E+07  5.141E+12  2.065E+00  1.249E+00  1.899E-04  3.166E-03  9.186E-02
 124   8.963E+01   6.309E+00  3.425E+13  1.036E+03  9.194E+06  4.685E+12  1.451E+00  1.003E+00  1.412E-04  2.363E-03  6.926E-02
 125   8.112E+01   4.464E+00  3.126E+13  7.589E+02  7.329E+06  4.270E+12  1.038E+00  8.160E-01  1.069E-04  1.806E-03  5.285E-02
 126   7.338E+01   3.270E+00  2.852E+13  5.685E+02  5.906E+06  3.890E+12  7.498E-01  6.768E-01  8.258E-05  1.424E-03  4.127E-02
 127   6.637E+01   2.519E+00  2.601E+13  4.399E+02  4.834E+06  3.542E+12  5.500E-01  5.764E-01  6.556E-05  1.175E-03  3.330E-02
 128   6.001E+01   2.095E+00  2.372E+13  3.579E+02  4.055E+06  3.225E+12  4.134E-01  5.109E-01  5.427E-05  1.039E-03  2.825E-02
 129   5.430E+01   1.899E+00  2.161E+13  3.114E+02  3.531E+06  2.933E+12  3.236E-01  4.662E-01  4.690E-05  9.716E-04  2.466E-02
