Index   PRESSURE   C2H        C2H2       C2H3       C2H4       C2H5       C2H6       C3H2       C3H3       CH3C2H     CH2CCH2 
 118   1.638E+02   3.120E-02  5.705E+07  2.401E+02  3.255E+07  9.440E+01  3.017E+05  4.099E-03  5.869E-01  4.070E+01  1.351E+01
 119   1.482E+02   1.878E-02  4.441E+07  1.685E+02  2.712E+07  7.068E+01  2.585E+05  3.420E-03  3.991E-01  3.058E+01  1.010E+01
 120   1.340E+02   1.120E-02  3.441E+07  1.176E+02  2.256E+07  5.278E+01  2.216E+05  2.886E-03  2.693E-01  2.286E+01  7.508E+00
 121   1.212E+02   6.637E-03  2.663E+07  8.205E+01  1.879E+07  3.952E+01  1.907E+05  2.467E-03  1.812E-01  1.706E+01  5.573E+00
 122   1.096E+02   3.941E-03  2.070E+07  5.755E+01  1.576E+07  2.985E+01  1.655E+05  2.141E-03  1.224E-01  1.277E+01  4.149E+00
 123   9.912E+01   2.433E-03  1.641E+07  4.129E+01  1.334E+07  2.280E+01  1.438E+05  1.913E-03  8.521E-02  9.775E+00  3.159E+00
 124   8.963E+01   1.540E-03  1.328E+07  3.045E+01  1.154E+07  1.796E+01  1.278E+05  1.757E-03  6.095E-02  7.635E+00  2.455E+00
 125   8.112E+01   1.035E-03  1.115E+07  2.342E+01  1.024E+07  1.458E+01  1.153E+05  1.684E-03  4.588E-02  6.205E+00  1.986E+00
 126   7.338E+01   7.346E-04  9.800E+06  1.905E+01  9.507E+06  1.254E+01  1.088E+05  1.695E-03  3.654E-02  5.272E+00  1.681E+00
 127   6.637E+01   5.604E-04  9.123E+06  1.669E+01  9.359E+06  1.164E+01  1.089E+05  1.814E-03  3.133E-02  4.742E+00  1.506E+00
 128   6.001E+01   4.672E-04  9.067E+06  1.600E+01  9.829E+06  1.185E+01  1.166E+05  2.081E-03  2.942E-02  4.551E+00  1.442E+00
 129   5.430E+01   4.401E-04  9.625E+06  1.670E+01  1.081E+07  1.277E+01  1.280E+05  2.558E-03  3.051E-02  4.697E+00  1.486E+00
 130   4.908E+01   4.405E-04  1.063E+07  1.887E+01  1.246E+07  1.515E+01  1.503E+05  3.284E-03  3.409E-02  5.024E+00  1.589E+00
 131   4.441E+01   4.823E-04  1.213E+07  2.244E+01  1.453E+07  1.836E+01  1.745E+05  4.365E-03  4.071E-02  5.588E+00  1.770E+00
 132   4.019E+01   5.577E-04  1.403E+07  2.762E+01  1.696E+07  2.267E+01  2.007E+05  5.896E-03  5.076E-02  6.321E+00  2.007E+00
 133   3.635E+01   6.598E-04  1.619E+07  3.465E+01  1.968E+07  2.855E+01  2.300E+05  7.972E-03  6.480E-02  7.138E+00  2.274E+00
 134   3.288E+01   7.993E-04  1.858E+07  4.367E+01  2.247E+07  3.553E+01  2.560E+05  1.074E-02  8.364E-02  8.040E+00  2.574E+00
 135   2.974E+01   9.703E-04  2.110E+07  5.496E+01  2.528E+07  4.420E+01  2.810E+05  1.434E-02  1.083E-01  8.960E+00  2.886E+00
 136   2.692E+01   1.186E-03  2.366E+07  6.850E+01  2.787E+07  5.357E+01  2.982E+05  1.892E-02  1.394E-01  9.896E+00  3.209E+00
 137   2.433E+01   1.411E-03  2.599E+07  8.442E+01  3.030E+07  6.530E+01  3.161E+05  2.450E-02  1.771E-01  1.067E+01  3.488E+00
 138   1.752E+01   2.344E-03  3.239E+07  1.541E+02  3.603E+07  1.129E+02  3.401E+05  5.265E-02  3.591E-01  1.255E+01  4.269E+00
 139   1.251E+01   3.265E-03  3.451E+07  2.445E+02  3.712E+07  1.763E+02  3.253E+05  9.881E-02  6.325E-01  1.255E+01  4.583E+00
 140   8.952E+00   4.497E-03  3.468E+07  3.490E+02  3.361E+07  2.359E+02  2.644E+05  1.774E-01  1.065E+00  1.201E+01  4.825E+00
 141   6.407E+00   6.875E-03  3.550E+07  4.778E+02  2.784E+07  2.817E+02  1.879E+05  3.296E-01  1.882E+00  1.190E+01  5.320E+00
 142   4.584E+00   1.224E-02  3.910E+07  6.576E+02  2.206E+07  3.193E+02  1.245E+05  6.656E-01  3.695E+00  1.284E+01  6.388E+00
 143   3.283E+00   2.645E-02  4.881E+07  9.303E+02  1.730E+07  3.502E+02  8.017E+04  1.522E+00  8.320E+00  1.577E+01  8.587E+00
 144   2.351E+00   6.216E-02  6.708E+07  1.288E+03  1.359E+07  3.672E+02  5.209E+04  3.825E+00  1.977E+01  2.114E+01  1.234E+01
 145   1.684E+00   1.537E-01  1.002E+08  1.774E+03  1.083E+07  3.876E+02  3.531E+04  1.047E+01  4.953E+01  3.029E+01  1.880E+01
 146   1.207E+00   3.794E-01  1.557E+08  2.359E+03  8.684E+06  3.897E+02  2.382E+04  3.117E+01  1.243E+02  4.431E+01  2.874E+01
 147   8.644E-01   8.670E-01  2.371E+08  2.932E+03  6.891E+06  3.594E+02  1.539E+04  1.036E+02  3.089E+02  6.260E+01  4.164E+01
 148   6.189E-01   1.815E+00  3.467E+08  3.403E+03  5.380E+06  3.023E+02  9.309E+03  4.021E+02  8.321E+02  8.537E+01  5.687E+01
 149   4.433E-01   3.308E+00  4.678E+08  3.581E+03  4.054E+06  2.266E+02  5.223E+03  1.624E+03  2.373E+03  1.130E+02  7.295E+01
 150   3.176E-01   5.342E+00  5.894E+08  3.509E+03  2.934E+06  1.595E+02  2.857E+03  6.733E+03  7.373E+03  1.577E+02  9.563E+01
 151   2.273E-01   7.813E+00  7.012E+08  3.266E+03  2.033E+06  1.072E+02  1.586E+03  2.949E+04  2.539E+04  2.576E+02  1.434E+02
 152   1.626E-01   1.068E+01  7.937E+08  2.908E+03  1.348E+06  6.702E+01  9.007E+02  1.307E+05  8.999E+04  5.015E+02  2.714E+02
 153   1.163E-01   1.419E+01  8.699E+08  2.548E+03  8.751E+05  3.896E+01  5.104E+02  5.466E+05  3.014E+05  1.019E+03  5.303E+02
