Index   PRESSURE   H          HE         H2         C          CH         1CH2       3CH2       CH3        CH4        C2      
  93   2.011E+03   1.476E+14  1.548E+18  7.998E+18  1.219E+00  9.819E+01  2.694E+04  1.097E+06  6.523E+10  1.724E+14  1.768E-05
  94   1.819E+03   1.286E+14  1.407E+18  7.273E+18  9.332E-01  7.534E+01  2.112E+04  8.736E+05  5.475E+10  1.511E+14  1.333E-05
  95   1.646E+03   1.118E+14  1.280E+18  6.614E+18  7.170E-01  5.802E+01  1.664E+04  6.989E+05  4.621E+10  1.334E+14  1.014E-05
  96   1.489E+03   9.722E+13  1.164E+18  6.016E+18  5.517E-01  4.479E+01  1.314E+04  5.610E+05  3.919E+10  1.184E+14  7.755E-06
  97   1.347E+03   8.444E+13  1.059E+18  5.471E+18  4.252E-01  3.465E+01  1.042E+04  4.515E+05  3.337E+10  1.056E+14  5.969E-06
  98   1.219E+03   7.324E+13  9.630E+17  4.977E+18  3.277E-01  2.683E+01  8.264E+03  3.641E+05  2.849E+10  9.465E+13  4.605E-06
  99   1.102E+03   6.273E+13  8.761E+17  4.528E+18  2.418E-01  2.003E+01  6.388E+03  2.867E+05  2.410E+10  8.509E+13  3.379E-06
 100   9.972E+02   5.430E+13  7.971E+17  4.120E+18  1.859E-01  1.549E+01  5.074E+03  2.314E+05  2.066E+10  7.672E+13  2.612E-06
 101   9.018E+02   4.639E+13  7.253E+17  3.749E+18  1.366E-01  1.153E+01  3.918E+03  1.821E+05  1.751E+10  6.933E+13  1.912E-06
 102   8.161E+02   4.007E+13  6.600E+17  3.411E+18  1.046E-01  8.890E+00  3.109E+03  1.469E+05  1.504E+10  6.276E+13  1.475E-06
 103   7.384E+02   3.415E+13  6.009E+17  3.105E+18  7.630E-02  6.583E+00  2.394E+03  1.153E+05  1.276E+10  5.692E+13  1.073E-06
 104   6.676E+02   2.870E+13  5.470E+17  2.827E+18  5.293E-02  4.671E+00  1.786E+03  8.788E+04  1.068E+10  5.168E+13  7.335E-07
 105   6.038E+02   2.407E+13  4.983E+17  2.575E+18  3.649E-02  3.298E+00  1.328E+03  6.677E+04  8.932E+09  4.698E+13  4.981E-07
 106   5.463E+02   2.016E+13  4.540E+17  2.346E+18  2.500E-02  2.317E+00  9.833E+02  5.056E+04  7.462E+09  4.274E+13  3.355E-07
 107   4.941E+02   1.664E+13  4.138E+17  2.139E+18  1.621E-02  1.553E+00  7.036E+02  3.708E+04  6.141E+09  3.892E+13  2.112E-07
 108   4.470E+02   1.370E+13  3.773E+17  1.950E+18  1.042E-02  1.035E+00  5.010E+02  2.707E+04  5.047E+09  3.546E+13  1.316E-07
 109   4.044E+02   1.125E+13  3.441E+17  1.778E+18  6.642E-03  6.839E-01  3.548E+02  1.966E+04  4.136E+09  3.231E+13  8.109E-08
 110   3.656E+02   9.092E+12  3.138E+17  1.622E+18  3.991E-03  4.300E-01  2.420E+02  1.380E+04  3.334E+09  2.945E+13  4.651E-08
 111   3.308E+02   7.431E+12  2.862E+17  1.479E+18  2.496E-03  2.798E-01  1.693E+02  9.910E+03  2.718E+09  2.685E+13  2.798E-08
 112   2.991E+02   5.973E+12  2.611E+17  1.350E+18  1.468E-03  1.728E-01  1.140E+02  6.868E+03  2.180E+09  2.448E+13  1.562E-08
 113   2.705E+02   4.785E+12  2.383E+17  1.231E+18  8.536E-04  1.057E-01  7.614E+01  4.727E+03  1.741E+09  2.233E+13  8.591E-09
 114   2.447E+02   3.823E+12  2.175E+17  1.124E+18  4.903E-04  6.400E-02  5.050E+01  3.231E+03  1.387E+09  2.038E+13  4.654E-09
 115   2.213E+02   3.044E+12  1.986E+17  1.026E+18  2.784E-04  3.838E-02  3.325E+01  2.194E+03  1.102E+09  1.859E+13  2.486E-09
 116   2.001E+02   2.416E+12  1.812E+17  9.366E+17  1.562E-04  2.278E-02  2.171E+01  1.479E+03  8.716E+08  1.696E+13  1.308E-09
 117   1.811E+02   1.911E+12  1.655E+17  8.553E+17  8.649E-05  1.337E-02  1.407E+01  9.894E+02  6.873E+08  1.548E+13  6.778E-10
 118   1.638E+02   1.507E+12  1.511E+17  7.810E+17  4.731E-05  7.774E-03  9.049E+00  6.573E+02  5.401E+08  1.413E+13  3.459E-10
 119   1.482E+02   1.185E+12  1.380E+17  7.132E+17  2.556E-05  4.472E-03  5.775E+00  4.335E+02  4.232E+08  1.290E+13  1.740E-10
 120   1.340E+02   9.283E+11  1.260E+17  6.512E+17  1.365E-05  2.547E-03  3.657E+00  2.840E+02  3.302E+08  1.177E+13  8.641E-11
 121   1.212E+02   7.257E+11  1.150E+17  5.946E+17  7.213E-06  1.441E-03  2.302E+00  1.851E+02  2.572E+08  1.074E+13  4.253E-11
 122   1.096E+02   5.669E+11  1.050E+17  5.428E+17  3.796E-06  8.132E-04  1.446E+00  1.204E+02  2.001E+08  9.799E+12  2.094E-11
