Index PRESSURE   N          N2         NH         NH2        NH3        N2H        N2H2       H2NN       N2H3       N2H4    
  97  8.941E+02   1.907E+05  2.666E+14  3.983E+06  9.061E+08  2.442E+12  2.972E+04  4.770E+01  6.665E-02  2.283E-01  8.450E-01
  98  8.089E+02   1.589E+05  2.427E+14  3.329E+06  7.797E+08  2.219E+12  2.305E+04  3.654E+01  4.893E-02  1.872E-01  6.965E-01
  99  7.321E+02   1.352E+05  2.208E+14  2.828E+06  6.775E+08  2.018E+12  1.804E+04  2.829E+01  3.643E-02  1.562E-01  5.789E-01
 100  6.622E+02   1.121E+05  2.010E+14  2.356E+06  5.820E+08  1.835E+12  1.395E+04  2.170E+01  2.674E-02  1.284E-01  4.764E-01
 101  5.989E+02   9.274E+04  1.829E+14  1.959E+06  4.995E+08  1.670E+12  1.077E+04  1.666E+01  1.964E-02  1.056E-01  3.916E-01
 102  5.419E+02   7.648E+04  1.665E+14  1.624E+06  4.282E+08  1.520E+12  8.305E+03  1.281E+01  1.444E-02  8.688E-02  3.214E-01
 103  4.902E+02   6.134E+04  1.517E+14  1.319E+06  3.628E+08  1.384E+12  6.326E+03  9.759E+00  1.047E-02  7.027E-02  2.612E-01
 104  4.432E+02   4.782E+04  1.382E+14  1.047E+06  3.034E+08  1.261E+12  4.750E+03  7.352E+00  7.474E-03  5.585E-02  2.097E-01
 105  4.010E+02   3.708E+04  1.260E+14  8.285E+05  2.534E+08  1.150E+12  3.564E+03  5.552E+00  5.345E-03  4.431E-02  1.681E-01
 106  3.630E+02   2.862E+04  1.149E+14  6.532E+05  2.113E+08  1.048E+12  2.669E+03  4.195E+00  3.822E-03  3.509E-02  1.344E-01
 107  3.282E+02   2.086E+04  1.048E+14  4.924E+05  1.717E+08  9.563E+11  1.945E+03  3.097E+00  2.647E-03  2.676E-02  1.050E-01
 108  2.968E+02   1.510E+04  9.567E+13  3.692E+05  1.391E+08  8.723E+11  1.412E+03  2.286E+00  1.831E-03  2.033E-02  8.174E-02
 109  2.685E+02   1.085E+04  8.737E+13  2.754E+05  1.124E+08  7.963E+11  1.024E+03  1.689E+00  1.266E-03  1.539E-02  6.342E-02
 110  2.429E+02   7.528E+03  7.983E+13  1.999E+05  8.941E+07  7.271E+11  7.299E+02  1.232E+00  8.611E-04  1.140E-02  4.850E-02
 111  2.196E+02   5.179E+03  7.289E+13  1.441E+05  7.082E+07  6.636E+11  5.179E+02  8.974E-01  5.840E-04  8.389E-03  3.686E-02
 112  1.986E+02   3.432E+03  6.665E+13  1.009E+05  5.522E+07  6.063E+11  3.616E+02  6.463E-01  3.894E-04  6.032E-03  2.762E-02
 113  1.797E+02   2.317E+03  6.092E+13  7.171E+04  4.341E+07  5.538E+11  2.547E+02  4.709E-01  2.637E-04  4.393E-03  2.079E-02
 114  1.624E+02   1.506E+03  5.569E+13  4.946E+04  3.355E+07  5.058E+11  1.761E+02  3.387E-01  1.752E-04  3.122E-03  1.539E-02
 115  1.469E+02   9.974E+02  5.089E+13  3.462E+04  2.614E+07  4.618E+11  1.229E+02  2.467E-01  1.183E-04  2.248E-03  1.145E-02
 116  1.329E+02   6.748E+02  4.650E+13  2.464E+04  2.056E+07  4.215E+11  8.663E+01  1.821E-01  8.131E-05  1.642E-03  8.569E-03
 117  1.202E+02   4.536E+02  4.248E+13  1.744E+04  1.612E+07  3.846E+11  6.082E+01  1.346E-01  5.586E-05  1.195E-03  6.381E-03
 118  1.087E+02   3.120E+02  3.879E+13  1.256E+04  1.276E+07  3.508E+11  4.318E+01  1.008E-01  3.906E-05  8.831E-04  4.778E-03
 119  9.839E+01   2.198E+02  3.541E+13  9.222E+03  1.021E+07  3.199E+11  3.101E+01  7.661E-02  2.782E-05  6.630E-04  3.601E-03
 120  8.897E+01   1.546E+02  3.230E+13  6.755E+03  8.155E+06  2.914E+11  2.221E+01  5.838E-02  1.985E-05  4.977E-04  2.706E-03
 121  8.048E+01   1.115E+02  2.946E+13  5.048E+03  6.586E+06  2.654E+11  1.611E+01  4.511E-02  1.443E-05  3.799E-04  2.047E-03
 122  7.280E+01   8.268E+01  2.685E+13  3.852E+03  5.383E+06  2.416E+11  1.183E+01  3.535E-02  1.068E-05  2.950E-04  1.559E-03
 123  6.584E+01   6.195E+01  2.446E+13  2.958E+03  4.412E+06  2.198E+11  8.709E+00  2.795E-02  7.972E-06  2.315E-04  1.193E-03
 124  5.958E+01   4.862E+01  2.227E+13  2.361E+03  3.698E+06  1.998E+11  6.572E+00  2.252E-02  6.128E-06  1.864E-04  9.220E-04
 125  5.390E+01   3.870E+01  2.027E+13  1.901E+03  3.112E+06  1.815E+11  4.977E+00  1.834E-02  4.757E-06  1.520E-04  7.179E-04
 126  4.874E+01   3.121E+01  1.844E+13  1.543E+03  2.629E+06  1.648E+11  3.782E+00  1.509E-02  3.727E-06  1.255E-04  5.625E-04
 127  4.408E+01   2.601E+01  1.677E+13  1.285E+03  2.252E+06  1.496E+11  2.919E+00  1.259E-02  2.979E-06  1.058E-04  4.448E-04
 128  3.987E+01   2.252E+01  1.524E+13  1.101E+03  1.961E+06  1.357E+11  2.291E+00  1.070E-02  2.437E-06  9.151E-05  3.563E-04
 129  3.608E+01   2.022E+01  1.384E+13  9.708E+02  1.734E+06  1.230E+11  1.830E+00  9.233E-03  2.037E-06  8.097E-05  2.887E-04
 130  3.264E+01   1.885E+01  1.257E+13  8.775E+02  1.553E+06  1.114E+11  1.479E+00  8.166E-03  1.743E-06  7.412E-05  2.394E-04
 131  2.953E+01   1.827E+01  1.141E+13  8.170E+02  1.414E+06  1.009E+11  1.216E+00  7.349E-03  1.527E-06  6.959E-05  2.010E-04
 132  2.672E+01   1.846E+01  1.035E+13  7.854E+02  1.310E+06  9.125E+10  1.020E+00  6.739E-03  1.371E-06  6.717E-05  1.714E-04
 133  2.417E+01   1.956E+01  9.384E+12  7.792E+02  1.233E+06  8.249E+10  8.677E-01  6.379E-03  1.270E-06  6.764E-05  1.504E-04
 134  2.188E+01   2.168E+01  8.507E+12  7.996E+02  1.182E+06  7.455E+10  7.539E-01  6.170E-03  1.209E-06  7.021E-05  1.345E-04
 135  1.980E+01   2.510E+01  7.705E+12  8.482E+02  1.155E+06  6.729E+10  6.677E-01  6.094E-03  1.182E-06  7.501E-05  1.221E-04
 136  1.793E+01   3.023E+01  6.977E+12  9.280E+02  1.147E+06  6.072E+10  6.028E-01  6.137E-03  1.185E-06  8.218E-05  1.125E-04
 137  1.621E+01   3.823E+01  6.310E+12  1.048E+03  1.157E+06  5.469E+10  5.521E-01  6.397E-03  1.228E-06  9.402E-05  1.068E-04
 138  1.467E+01   4.952E+01  5.706E+12  1.208E+03  1.182E+06  4.925E+10  5.127E-01  6.740E-03  1.295E-06  1.087E-04  1.019E-04
 139  1.328E+01   6.640E+01  5.158E+12  1.425E+03  1.221E+06  4.432E+10  4.815E-01  7.304E-03  1.402E-06  1.297E-04  9.948E-05
 140  1.201E+01   9.099E+01  4.661E+12  1.713E+03  1.274E+06  3.984E+10  4.577E-01  7.994E-03  1.542E-06  1.560E-04  9.738E-05
 141  1.087E+01   1.279E+02  4.209E+12  2.101E+03  1.347E+06  3.579E+10  4.413E-01  8.864E-03  1.728E-06  1.896E-04  9.585E-05
 142  7.742E+00   4.388E+02  2.969E+12  4.448E+03  1.671E+06  2.469E+10  4.025E-01  1.368E-02  2.781E-06  3.838E-04  9.383E-05
 143  5.562E+00   1.614E+03  2.102E+12  1.014E+04  2.178E+06  1.698E+10  3.942E-01  2.244E-02  4.960E-06  7.609E-04  9.093E-05
