Index   PRESSURE   CH2OH      CH3O       CH3OH      HCCO       H2CCO      C2H3O      CH3CHO     C2H4OH     HO2        H2O2    
  94   1.819E+03   3.555E+04  3.021E+02  6.872E+06  2.181E+02  1.740E+06  3.348E+02  1.452E+04  2.801E-02  9.132E-03  7.384E-01
  95   1.646E+03   2.877E+04  2.268E+02  5.733E+06  1.727E+02  1.444E+06  2.609E+02  1.149E+04  2.169E-02  7.034E-03  5.762E-01
  96   1.489E+03   2.339E+04  1.705E+02  4.808E+06  1.373E+02  1.204E+06  2.042E+02  9.151E+03  1.696E-02  5.411E-03  4.491E-01
  97   1.347E+03   1.908E+04  1.282E+02  4.052E+06  1.095E+02  1.007E+06  1.605E+02  7.319E+03  1.338E-02  4.152E-03  3.497E-01
  98   1.219E+03   1.561E+04  9.656E+01  3.426E+06  8.748E+01  8.459E+05  1.265E+02  5.875E+03  1.062E-02  3.182E-03  2.719E-01
  99   1.102E+03   1.259E+04  7.204E+01  2.890E+06  6.863E+01  7.069E+05  9.903E+01  4.727E+03  8.315E-03  2.367E-03  2.071E-01
 100   9.972E+02   1.034E+04  5.436E+01  2.458E+06  5.494E+01  5.963E+05  7.840E+01  3.819E+03  6.660E-03  1.806E-03  1.607E-01
 101   9.018E+02   8.361E+03  4.060E+01  2.082E+06  4.311E+01  4.996E+05  6.153E+01  3.087E+03  5.247E-03  1.336E-03  1.219E-01
 102   8.161E+02   6.875E+03  3.067E+01  1.776E+06  3.452E+01  4.226E+05  4.883E+01  2.504E+03  4.224E-03  1.014E-03  9.428E-02
 103   7.384E+02   5.558E+03  2.295E+01  1.508E+06  2.705E+01  3.547E+05  3.839E+01  2.031E+03  3.335E-03  7.466E-04  7.130E-02
 104   6.676E+02   4.408E+03  1.695E+01  1.271E+06  2.069E+01  2.951E+05  2.983E+01  1.645E+03  2.579E-03  5.318E-04  5.268E-02
 105   6.038E+02   3.491E+03  1.253E+01  1.072E+06  1.580E+01  2.454E+05  2.319E+01  1.335E+03  1.992E-03  3.774E-04  3.885E-02
 106   5.463E+02   2.761E+03  9.262E+00  9.046E+05  1.204E+01  2.041E+05  1.802E+01  1.085E+03  1.536E-03  2.668E-04  2.857E-02
 107   4.941E+02   2.138E+03  6.753E+00  7.569E+05  8.937E+00  1.681E+05  1.383E+01  8.798E+02  1.157E-03  1.821E-04  2.050E-02
 108   4.470E+02   1.651E+03  4.919E+00  6.331E+05  6.611E+00  1.382E+05  1.061E+01  7.144E+02  8.693E-04  1.237E-04  1.467E-02
 109   4.044E+02   1.271E+03  3.578E+00  5.290E+05  4.870E+00  1.135E+05  8.122E+00  5.802E+02  6.505E-04  8.359E-05  1.046E-02
 110   3.656E+02   9.557E+02  2.561E+00  4.380E+05  3.487E+00  9.217E+04  6.132E+00  4.700E+02  4.746E-04  5.440E-05  7.256E-03
 111   3.308E+02   7.301E+02  1.855E+00  3.649E+05  2.545E+00  7.543E+04  4.677E+00  3.817E+02  3.521E-04  3.633E-05  5.129E-03
 112   2.991E+02   5.445E+02  1.321E+00  3.011E+05  1.804E+00  6.097E+04  3.516E+00  3.093E+02  2.545E-04  2.333E-05  3.526E-03
 113   2.705E+02   4.043E+02  9.389E-01  2.481E+05  1.271E+00  4.918E+04  2.639E+00  2.506E+02  1.831E-04  1.488E-05  2.414E-03
 114   2.447E+02   2.989E+02  6.657E-01  2.040E+05  8.902E-01  3.955E+04  1.975E+00  2.033E+02  1.311E-04  9.427E-06  1.644E-03
 115   2.213E+02   2.199E+02  4.706E-01  1.675E+05  6.195E-01  3.173E+04  1.475E+00  1.648E+02  9.335E-05  5.925E-06  1.114E-03
 116   2.001E+02   1.609E+02  3.315E-01  1.372E+05  4.281E-01  2.534E+04  1.098E+00  1.335E+02  6.613E-05  3.696E-06  7.511E-04
 117   1.811E+02   1.172E+02  2.330E-01  1.122E+05  2.937E-01  2.018E+04  8.162E-01  1.082E+02  4.665E-05  2.289E-06  5.038E-04
 118   1.638E+02   8.494E+01  1.633E-01  9.153E+04  1.999E-01  1.600E+04  6.048E-01  8.779E+01  3.274E-05  1.407E-06  3.363E-04
 119   1.482E+02   6.128E+01  1.141E-01  7.453E+04  1.349E-01  1.262E+04  4.471E-01  7.122E+01  2.289E-05  8.584E-07  2.233E-04
 120   1.340E+02   4.399E+01  7.945E-02  6.056E+04  9.019E-02  9.889E+03  3.296E-01  5.780E+01  1.595E-05  5.197E-07  1.476E-04
 121   1.212E+02   3.147E+01  5.524E-02  4.914E+04  5.973E-02  7.699E+03  2.425E-01  4.700E+01  1.112E-05  3.127E-07  9.719E-05
 122   1.096E+02   2.250E+01  3.841E-02  3.983E+04  3.921E-02  5.943E+03  1.784E-01  3.842E+01  7.815E-06  1.878E-07  6.402E-05
 123   9.912E+01   1.636E+01  2.702E-02  3.249E+04  2.619E-02  4.609E+03  1.326E-01  3.137E+01  5.583E-06  1.161E-07  4.302E-05
 124   8.963E+01   1.199E+01  1.913E-02  2.658E+04  1.744E-02  3.544E+03  9.912E-02  2.599E+01  4.104E-06  7.251E-08  2.925E-05
 125   8.112E+01   8.980E+00  1.375E-02  2.191E+04  1.185E-02  2.739E+03  7.504E-02  2.157E+01  3.127E-06  4.692E-08  2.039E-05
 126   7.338E+01   6.840E+00  1.001E-02  1.817E+04  8.088E-03  2.101E+03  5.745E-02  1.830E+01  2.522E-06  3.107E-08  1.455E-05
 127   6.637E+01   5.338E+00  7.429E-03  1.518E+04  5.575E-03  1.602E+03  4.469E-02  1.598E+01  2.194E-06  2.129E-08  1.072E-05
 128   6.001E+01   4.327E+00  5.682E-03  1.284E+04  3.935E-03  1.220E+03  3.567E-02  1.455E+01  2.091E-06  1.543E-08  8.324E-06
 129   5.430E+01   3.679E+00  4.494E-03  1.105E+04  2.970E-03  9.568E+02  2.930E-02  1.324E+01  2.135E-06  1.216E-08  6.845E-06
 130   4.908E+01   3.290E+00  3.715E-03  9.645E+03  2.302E-03  7.462E+02  2.496E-02  1.301E+01  2.380E-06  1.032E-08  6.058E-06
 131   4.441E+01   3.090E+00  3.185E-03  8.567E+03  1.923E-03  6.037E+02  2.190E-02  1.273E+01  2.747E-06  9.544E-09  5.689E-06
 132   4.019E+01   3.031E+00  2.832E-03  7.725E+03  1.699E-03  5.003E+02  1.974E-02  1.262E+01  3.252E-06  9.451E-09  5.636E-06
 133   3.635E+01   3.081E+00  2.605E-03  7.043E+03  1.552E-03  4.180E+02  1.822E-02  1.286E+01  3.926E-06  9.898E-09  5.866E-06
 134   3.288E+01   3.208E+00  2.454E-03  6.475E+03  1.474E-03  3.564E+02  1.704E-02  1.297E+01  4.711E-06  1.076E-08  6.279E-06
 135   2.974E+01   3.410E+00  2.370E-03  5.995E+03  1.428E-03  3.055E+02  1.618E-02  1.321E+01  5.652E-06  1.205E-08  6.913E-06
 136   2.692E+01   3.661E+00  2.324E-03  5.578E+03  1.419E-03  2.663E+02  1.542E-02  1.318E+01  6.652E-06  1.367E-08  7.677E-06
 137   2.433E+01   3.954E+00  2.312E-03  5.183E+03  1.399E-03  2.292E+02  1.482E-02  1.334E+01  7.814E-06  1.571E-08  8.675E-06
 138   1.752E+01   5.091E+00  2.400E-03  4.044E+03  1.387E-03  1.436E+02  1.315E-02  1.282E+01  1.208E-05  2.509E-08  1.325E-05
 139   1.251E+01   6.192E+00  2.529E-03  2.960E+03  1.342E-03  8.701E+01  1.174E-02  1.144E+01  1.655E-05  4.025E-08  2.081E-05
 140   8.952E+00   7.065E+00  2.666E-03  2.051E+03  1.384E-03  5.545E+01  1.050E-02  9.424E+00  1.982E-05  6.416E-08  3.287E-05
 141   6.407E+00   7.799E+00  2.897E-03  1.377E+03  1.581E-03  3.800E+01  9.528E-03  7.423E+00  2.183E-05  1.050E-07  5.356E-05
 142   4.584E+00   8.500E+00  3.333E-03  9.221E+02  1.962E-03  2.772E+01  8.831E-03  5.715E+00  2.335E-05  1.789E-07  9.124E-05
 143   3.283E+00   9.252E+00  4.143E-03  6.392E+02  2.570E-03  2.142E+01  8.251E-03  4.253E+00  2.477E-05  3.091E-07  1.576E-04
 144   2.351E+00   9.595E+00  5.212E-03  4.551E+02  3.224E-03  1.666E+01  7.417E-03  2.946E+00  2.535E-05  4.892E-07  2.494E-04
 145   1.684E+00   9.557E+00  6.612E-03  3.313E+02  3.891E-03  1.289E+01  6.502E-03  1.943E+00  2.601E-05  7.203E-07  3.680E-04
 146   1.207E+00   9.030E+00  8.065E-03  2.410E+02  4.686E-03  9.913E+00  5.380E-03  1.172E+00  2.558E-05  9.269E-07  4.740E-04
 147   8.644E-01   7.969E+00  8.965E-03  1.693E+02  5.894E-03  7.560E+00  4.108E-03  6.314E-01  2.335E-05  1.012E-06  5.171E-04
 148   6.189E-01   6.581E+00  8.956E-03  1.126E+02  8.149E-03  5.867E+00  2.895E-03  3.041E-01  1.971E-05  9.559E-07  4.869E-04
 149   4.433E-01   5.105E+00  7.950E-03  7.052E+01  1.182E-02  4.766E+00  1.892E-03  1.326E-01  1.500E-05  7.893E-07  3.998E-04
 150   3.176E-01   3.839E+00  6.676E-03  4.304E+01  1.725E-02  4.130E+00  1.224E-03  5.575E-02  1.073E-05  6.024E-07  3.029E-04
 151   2.273E-01   2.878E+00  5.578E-03  2.647E+01  2.462E-02  3.731E+00  8.252E-04  2.339E-02  7.352E-06  4.364E-07  2.169E-04
 152   1.626E-01   2.189E+00  4.687E-03  1.661E+01  3.413E-02  3.416E+00  5.829E-04  9.731E-03  4.732E-06  3.064E-07  1.489E-04
 153   1.163E-01   1.662E+00  3.858E-03  1.038E+01  4.672E-02  3.137E+00  4.222E-04  3.886E-03  2.864E-06  2.146E-07  9.993E-05
 154   8.334E-02   1.181E+00  2.891E-03  6.149E+00  6.084E-02  2.791E+00  3.052E-04  1.459E-03  1.700E-06  1.491E-07  6.474E-05
 155   5.961E-02   7.435E-01  1.854E-03  3.264E+00  7.463E-02  2.366E+00  2.161E-04  4.940E-04  1.008E-06  1.040E-07  4.043E-05
 156   4.263E-02   3.945E-01  9.665E-04  1.479E+00  8.396E-02  1.869E+00  1.495E-04  1.452E-04  5.498E-07  7.403E-08  2.450E-05
 157   3.049E-02   1.734E-01  4.044E-04  5.567E-01  8.699E-02  1.376E+00  1.029E-04  3.550E-05  2.369E-07  5.509E-08  1.467E-05
 158   2.183E-02   6.585E-02  1.429E-04  1.795E-01  8.544E-02  9.724E-01  7.236E-05  7.512E-06  7.933E-08  4.348E-08  8.860E-06
 159   1.562E-02   2.365E-02  4.713E-05  5.439E-02  8.257E-02  6.770E-01  5.283E-05  1.591E-06  2.373E-08  3.652E-08  5.421E-06
 160   1.119E-02   9.817E-03  1.787E-05  1.870E-02  8.077E-02  4.766E-01  3.878E-05  4.164E-07  7.554E-09  3.263E-08  3.421E-06
 161   8.025E-03   5.339E-03  8.925E-06  8.206E-03  8.672E-02  3.429E-01  2.838E-05  1.391E-07  2.686E-09  3.382E-08  2.316E-06
 162   5.761E-03   3.622E-03  5.610E-06  4.372E-03  1.089E-01  2.477E-01  2.021E-05  5.662E-08  1.092E-09  4.415E-08  1.696E-06
 163   4.146E-03   2.881E-03  4.195E-06  2.655E-03  1.550E-01  1.722E-01  1.411E-05  2.790E-08  5.108E-10  7.730E-08  1.423E-06
 164   2.991E-03   2.483E-03  3.449E-06  1.703E-03  1.627E-01  9.131E-02  8.912E-06  1.634E-08  2.649E-10  1.481E-07  1.357E-06
 165   2.166E-03   2.238E-03  3.024E-06  1.119E-03  2.952E-02  9.734E-03  4.355E-06  9.058E-09  1.155E-10  2.709E-07  1.456E-06
 166   1.575E-03   1.737E-03  2.316E-06  6.211E-04  8.229E-03  1.872E-03  2.074E-06  3.010E-09  2.640E-11  4.433E-07  1.673E-06
 167   1.148E-03   1.169E-03  1.549E-06  2.949E-04  5.771E-03  9.831E-04  8.786E-07  8.505E-10  5.626E-12  6.672E-07  1.981E-06
 168   8.405E-04   7.379E-04  9.821E-07  1.303E-04  5.080E-03  6.803E-04  3.520E-07  2.277E-10  1.214E-12  9.519E-07  2.386E-06
 169   6.172E-04   4.514E-04  6.089E-07  5.534E-05  4.996E-03  5.459E-04  1.425E-07  6.165E-11  2.765E-13  1.278E-06  2.835E-06
 170   4.549E-04   2.737E-04  3.785E-07  2.298E-05  5.377E-03  4.904E-04  5.957E-08  1.711E-11  6.532E-14  1.649E-06  3.341E-06
 171   3.363E-04   1.675E-04  2.410E-07  9.422E-06  6.301E-03  4.873E-04  2.686E-08  5.052E-12  1.629E-14  2.014E-06  3.831E-06
